tick,strategy_0_fraction,strategy_1_fraction,mean_trust,coordination_rate,num_interactions,strategy_switches,converged,majority_strategy,majority_fraction,mean_memory_window,norm_level,belief_error,belief_variance,norm_adoption_rate,mean_norm_strength,mean_ddm_evidence,total_anomalies,norm_crises,enforcement_events,norm_crystallisations,correct_norm_rate,mean_compliance
374,0.89,0.11,0.5980748292331272,0.78,50,24,False,0,0.89,3.96,0,0.14126666666666668,0.023187111111111117,0.0,0.0,0.0,0,0,0,0,0.0,0.0
375,0.85,0.15,0.6081216652137268,0.74,50,18,False,0,0.85,3.99,0,0.158,0.03248788888888889,0.0,0.0,0.0,0,0,0,0,0.0,0.0
376,0.86,0.14,0.615160106221095,0.84,50,23,False,0,0.86,3.99,0,0.1660666666666667,0.03864877777777778,0.0,0.0,0.0,0,0,0,0,0.0,0.0
377,0.82,0.18,0.6104416810085518,0.72,50,18,False,0,0.82,3.91,0,0.1825,0.04563141666666668,0.0,0.0,0.0,0,0,0,0,0.0,0.0
378,0.79,0.21,0.5866040798416913,0.62,50,21,False,0,0.79,3.75,0,0.16756666666666667,0.03376319444444445,0.0,0.0,0.0,0,0,0,0,0.0,0.0
379,0.83,0.17,0.5893347970496435,0.66,50,28,False,0,0.83,3.87,0,0.18,0.04551666666666668,0.0,0.0,0.0,0,0,0,0,0.0,0.0
380,0.83,0.17,0.5857358528215181,0.74,50,22,False,0,0.83,3.87,0,0.17410000000000003,0.04481319444444443,0.0,0.0,0.0,0,0,0,0,0.0,0.0
381,0.82,0.18,0.5775627154869813,0.64,50,29,False,0,0.82,3.78,0,0.18116666666666664,0.04403697222222221,0.0,0.0,0.0,0,0,0,0,0.0,0.0
382,0.87,0.13,0.5862988461154367,0.78,50,27,False,0,0.87,3.79,0,0.17713333333333328,0.047021,0.0,0.0,0.0,0,0,0,0,0.0,0.0
383,0.81,0.19,0.5876695032607309,0.7,50,22,False,0,0.81,3.82,0,0.20026666666666668,0.058434333333333345,0.0,0.0,0.0,0,0,0,0,0.0,0.0
384,0.83,0.17,0.5790598196780167,0.74,50,20,False,0,0.83,3.82,0,0.20040000000000002,0.06079444444444444,0.0,0.0,0.0,0,0,0,0,0.0,0.0
385,0.82,0.18,0.5682725412211167,0.68,50,19,False,0,0.82,3.77,0,0.18886666666666663,0.04722433333333334,0.0,0.0,0.0,0,0,0,0,0.0,0.0
386,0.84,0.16,0.5669756741020069,0.68,50,20,False,0,0.84,3.74,0,0.17936666666666667,0.043452083333333336,0.0,0.0,0.0,0,0,0,0,0.0,0.0
387,0.89,0.11,0.5726969766490603,0.78,50,19,False,0,0.89,3.76,0,0.1534333333333333,0.03120208333333334,0.0,0.0,0.0,0,0,0,0,0.0,0.0
388,0.79,0.21,0.5614631731362716,0.62,50,22,False,0,0.79,3.72,0,0.17009999999999997,0.03609652777777778,0.0,0.0,0.0,0,0,0,0,0.0,0.0
389,0.8,0.2,0.5477063898296413,0.72,50,25,False,0,0.8,3.7,0,0.17866666666666664,0.041534,0.0,0.0,0.0,0,0,0,0,0.0,0.0
390,0.85,0.15,0.5480241364817068,0.78,50,19,False,0,0.85,3.69,0,0.18783333333333335,0.049910305555555555,0.0,0.0,0.0,0,0,0,0,0.0,0.0
391,0.79,0.21,0.5461017122045934,0.7,50,18,False,0,0.79,3.66,0,0.20316666666666666,0.06053363888888889,0.0,0.0,0.0,0,0,0,0,0.0,0.0
392,0.74,0.26,0.5441920459069166,0.76,50,23,False,0,0.74,3.69,0,0.2316333333333333,0.07787919444444444,0.0,0.0,0.0,0,0,0,0,0.0,0.0
393,0.84,0.16,0.5516785144998843,0.8,50,22,False,0,0.84,3.68,0,0.20673333333333335,0.068461,0.0,0.0,0.0,0,0,0,0,0.0,0.0
394,0.76,0.24,0.5464175810162503,0.64,50,22,False,0,0.76,3.67,0,0.21613333333333337,0.06805933333333335,0.0,0.0,0.0,0,0,0,0,0.0,0.0
395,0.82,0.18,0.5397402657355371,0.72,50,24,False,0,0.82,3.7,0,0.20613333333333334,0.05793933333333334,0.0,0.0,0.0,0,0,0,0,0.0,0.0
396,0.8,0.2,0.5286782082449104,0.68,50,22,False,0,0.8,3.67,0,0.19483333333333328,0.05579141666666667,0.0,0.0,0.0,0,0,0,0,0.0,0.0
397,0.84,0.16,0.5410709154921335,0.76,50,24,False,0,0.84,3.64,0,0.19153333333333333,0.049808333333333336,0.0,0.0,0.0,0,0,0,0,0.0,0.0
398,0.76,0.24,0.5244668297690613,0.6,50,20,False,0,0.76,3.57,0,0.2067,0.05644097222222221,0.0,0.0,0.0,0,0,0,0,0.0,0.0
399,0.78,0.22,0.5170362892633054,0.64,50,28,False,0,0.78,3.55,0,0.20349999999999993,0.06099830555555556,0.0,0.0,0.0,0,0,0,0,0.0,0.0
400,0.75,0.25,0.4945631871199463,0.54,50,21,False,0,0.75,3.45,0,0.20799999999999996,0.05616211111111113,0.0,0.0,0.0,0,0,0,0,0.0,0.0
