N,topology,degree_k,rewire_p,trial,converged,conv_tick,total_ticks,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err
100,ring,4,0.0,19,true,1316,1516,1.0,1.0,100,0.9467593169017651,0.0
100,ring,4,0.0,50,true,390,590,1.0,1.0,100,0.9235584588246357,0.0
100,ring,4,0.0,22,true,1471,1671,1.0,1.0,100,0.9591979629693266,0.0
100,ring,4,0.0,1,true,1615,1815,1.0,1.0,100,0.9654738745491023,0.0
100,ring,4,0.0,33,true,1946,2146,1.0,1.0,100,0.968837913031157,0.0
100,ring,4,0.0,47,true,1801,2001,1.0,1.0,100,0.9516898480466949,0.0
100,ring,4,0.0,31,true,2957,3157,1.0,1.0,100,0.9598959643957639,0.0
100,ring,4,0.0,28,true,3399,3599,1.0,1.0,100,0.967157258926986,0.0
100,ring,4,0.0,7,true,3519,3719,1.0,1.0,100,0.9633926606362533,0.0
100,ring,4,0.0,34,true,1349,1549,1.0,1.0,100,0.9650473953448436,0.0
100,ring,4,0.0,40,true,2705,2905,1.0,1.0,100,0.9557923395936843,0.0
100,ring,4,0.0,4,true,3660,3860,1.0,1.0,100,0.9546432757412863,0.0
100,ring,4,0.0,13,true,4265,4465,1.0,1.0,100,0.9603358916925154,0.0
100,ring,4,0.0,29,true,703,903,1.0,1.0,100,0.9675898985725275,0.0
100,ring,4,0.0,41,true,3482,3682,1.0,1.0,100,0.9678866310490758,0.0
100,ring,4,0.0,35,false,0,5000,1.0,0.72,99,0.8802355044663752,0.38926666666666704
100,ring,4,0.0,45,false,0,5000,1.0,0.61,98,0.9023853871514556,0.4565333333333333
100,ring,4,0.0,37,false,0,5000,0.9772727272727273,0.63,99,0.8923887762191449,0.44159999999999977
100,ring,4,0.0,14,true,852,1052,1.0,1.0,100,0.9593679275171147,0.0
100,ring,4,0.0,43,false,0,5000,0.9555555555555556,0.65,99,0.8809392186292749,0.4396666666666667
100,ring,4,0.0,30,true,1485,1685,1.0,1.0,100,0.9572955636524689,0.0
100,ring,4,0.0,11,false,0,5000,0.9318181818181818,0.6,99,0.8935435350192159,0.4599999999999995
100,ring,4,0.0,17,false,0,5000,0.9777777777777777,0.72,98,0.8779682996998858,0.3955000000000004
100,ring,4,0.0,26,false,0,5000,0.9565217391304348,0.53,98,0.8756520471839069,0.4709666666666669
100,ring,4,0.0,44,true,435,635,1.0,1.0,100,0.9539219665975779,0.0
100,ring,4,0.0,20,false,0,5000,1.0,0.53,97,0.8908169713995998,0.48319999999999985
100,ring,4,0.0,15,true,1193,1393,1.0,1.0,100,0.9639261787533704,0.0
100,ring,4,0.0,27,true,648,848,1.0,1.0,100,0.9587918549818939,0.0
100,ring,4,0.0,23,false,0,5000,0.9347826086956522,0.66,98,0.883539757156734,0.4172666666666677
100,ring,4,0.0,8,true,3979,4179,1.0,1.0,100,0.9676504076792277,0.0
100,ring,4,0.0,48,false,0,5000,0.9565217391304348,0.92,98,0.8737543069521536,0.14886666666666673
100,ring,4,0.0,46,true,2426,2626,1.0,1.0,100,0.9405537450378716,0.0
100,ring,4,0.0,2,false,0,5000,0.9347826086956522,0.88,98,0.8893684566236396,0.20033333333333336
100,ring,4,0.0,24,true,686,886,1.0,1.0,100,0.9573115342297629,0.0
100,ring,4,0.0,32,false,0,5000,0.9545454545454546,0.86,99,0.8632518312480852,0.23123333333333373
100,ring,4,0.0,18,true,2338,2538,1.0,1.0,100,0.9654621677742354,0.0
100,ring,4,0.0,38,true,3178,3378,1.0,1.0,99,0.9730475073021413,0.0
100,ring,4,0.0,42,false,0,5000,0.9534883720930233,0.73,100,0.8785811907881123,0.3732333333333338
100,ring,4,0.0,5,false,0,5000,0.9534883720930233,0.81,98,0.8927312194305329,0.2781666666666675
100,ring,4,0.0,21,true,2815,3015,1.0,1.0,100,0.966328619557235,0.0
100,ring,4,0.0,12,true,4285,4485,1.0,1.0,100,0.9598335045429994,0.0
100,ring,4,0.0,36,false,0,5000,0.9565217391304348,0.67,97,0.895421807216625,0.42923333333333313
100,ring,4,0.0,9,false,0,5000,0.9347826086956522,0.59,97,0.8609805630428469,0.44253333333333233
100,ring,4,0.0,3,false,0,5000,0.9130434782608695,0.56,99,0.8588610472240678,0.4587999999999994
100,ring,4,0.0,6,false,0,5000,0.9787234042553191,0.5900000000000001,96,0.9112651860852122,0.4606000000000009
100,ring,8,0.0,47,true,117,317,1.0,1.0,100,0.9328157980194781,0.0
100,ring,8,0.0,39,true,150,350,1.0,1.0,100,0.9197892493212353,0.0
100,ring,8,0.0,37,true,174,374,1.0,1.0,99,0.9224440670883318,0.0
100,ring,8,0.0,49,true,335,535,1.0,1.0,100,0.9393186770553724,0.0
100,ring,8,0.0,4,true,379,579,1.0,1.0,100,0.9273442396530964,0.0
