tick,fraction_A,coordination,n_uncr,n_cryst_A,n_cryst_B,new_cryst_A,new_cryst_B,dissolutions,bexp_all,bexp_uncr,bexp_crA,bexp_crB,beff_all,beff_uncr,beff_crA,beff_crB,C_all,C_uncr,C_crA,C_crB,sigma_crA,sigma_crB,anom_crA,anom_crB,compl_crA,compl_crB,e_uncr_mean,e_uncr_abs_mean
80,1.0,1.0,2,98,0,0,0,0,1.0,1.0,1.0,NaN,0.9992,1.0,0.9991,NaN,0.832,0.839,0.8318,NaN,0.7173,NaN,2.35,NaN,0.5502,NaN,2.264,2.264
81,1.0,1.0,2,98,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.8488,0.8551,0.8486,NaN,0.7187,NaN,2.35,NaN,0.5518,NaN,2.404,2.404
82,1.0,1.0,2,98,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.8639,0.8696,0.8638,NaN,0.7201,NaN,2.35,NaN,0.5535,NaN,2.529,2.529
83,1.0,1.0,2,98,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.8775,0.8826,0.8774,NaN,0.7215,NaN,2.35,NaN,0.5551,NaN,2.608,2.608
84,1.0,1.0,2,98,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.8898,0.8944,0.8897,NaN,0.7229,NaN,2.35,NaN,0.5568,NaN,2.623,2.623
85,1.0,1.0,1,99,0,1,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.9008,0.8972,0.9008,NaN,0.725,NaN,2.32,NaN,0.5528,NaN,2.248,2.248
86,1.0,1.0,1,99,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.9107,0.9074,0.9107,NaN,0.7264,NaN,2.32,NaN,0.5609,NaN,2.464,2.464
87,1.0,1.0,1,99,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.9196,0.9167,0.9197,NaN,0.7278,NaN,2.32,NaN,0.5625,NaN,2.665,2.665
88,1.0,1.0,1,99,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.9277,0.925,0.9277,NaN,0.7291,NaN,2.32,NaN,0.5642,NaN,2.84,2.84
89,1.0,1.0,1,99,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.9349,0.9325,0.9349,NaN,0.7305,NaN,2.32,NaN,0.5658,NaN,2.926,2.926
