theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.0,10,true,101,101,1.0,0.999441051428377,98,0.8300804972684885,0.98,36,36,52,52,20,0,18,0,1.0,7
3.0,5.0,8,true,132,132,1.0,0.9999728892186022,92,0.8472268823945407,0.92,37,39,83,83,34,863,26,0,1.0,5
3.0,1.0,10,true,76,76,1.0,0.9971208892246173,99,0.8477964678131015,0.99,27,27,27,27,8,295,7,0,1.0,0
3.0,0.5,10,true,101,101,1.0,0.99961521084014,97,0.8632261206798976,0.97,35,35,52,52,12,405,9,0,1.0,0
3.0,0.5,24,true,80,80,0.0,0.9977560585842814,98,0.8498523091367892,0.98,31,31,29,31,8,314,6,0,1.0,0
3.0,2.0,21,true,115,115,1.0,0.9998193198153171,97,0.8507989030442377,0.97,38,38,66,66,29,795,26,0,1.0,4
3.0,2.0,10,true,106,106,0.0,0.9996428694149402,95,0.8552353935583324,0.95,38,39,57,57,28,759,23,0,1.0,3
3.0,0.0,25,true,85,85,1.0,0.9986686512442641,98,0.8512954214994352,0.98,29,30,36,36,8,0,6,0,1.0,5
3.0,0.0,11,true,79,79,1.0,0.9979696476619335,97,0.8500952838466368,0.97,26,28,30,30,7,0,4,0,1.0,2
3.0,5.0,22,true,106,106,1.0,0.9995643148149008,97,0.8549100512234542,0.97,37,39,57,57,32,793,29,0,1.0,6
3.0,5.0,9,true,77,77,1.0,0.9977768296205967,95,0.8519407603263329,0.95,28,28,21,28,10,304,5,0,1.0,0
3.0,1.0,11,true,74,74,0.0,0.9981707403273821,100,0.85015991740257,1.0,20,21,20,21,3,162,3,0,1.0,0
3.0,1.0,24,true,112,112,1.0,0.9990553485998096,97,0.7874735349193064,0.97,55,55,63,63,36,1076,33,0,1.0,8
