theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,2.0,10,true,93,93,0.0,0.9992783040139654,99,0.8600064755210807,0.99,30,32,44,44,11,364,10,0,1.0,1
3.0,0.0,12,true,86,86,1.0,0.9985043008324886,98,0.8472384090449645,0.98,29,31,37,37,10,0,8,0,1.0,4
3.0,0.5,27,true,116,116,0.0,0.9991690310687527,96,0.802274455347283,0.96,51,56,67,67,32,1018,28,0,1.0,7
3.0,5.0,26,true,68,68,0.0,0.9969574172117274,100,0.8469022912164393,1.0,19,19,17,19,1,114,1,0,1.0,0
5.0,0.5,13,true,86,86,1.0,0.9985323317096868,97,0.8513212424965232,0.97,32,31,37,37,1,114,0,0,1.0,0
3.0,0.0,13,true,72,72,1.0,0.9974874655824582,99,0.847533625046013,0.99,23,23,23,23,3,0,2,0,1.0,0
3.0,2.0,11,true,111,111,0.0,0.9995289650759794,97,0.8294574129442674,0.97,46,46,62,62,35,920,32,0,1.0,6
5.0,0.5,14,true,86,86,0.0,0.9986799460068531,97,0.8511408495014877,0.97,30,31,37,37,1,106,0,0,1.0,0
3.0,0.0,14,true,81,81,1.0,0.9982461210491086,94,0.8509816289475968,0.94,28,28,32,32,9,0,3,0,1.0,4
3.0,5.0,27,true,127,127,1.0,0.9999714166454515,93,0.8784833191043624,0.93,36,36,78,78,27,641,20,0,1.0,1
3.0,0.5,28,true,119,119,1.0,0.9984958103448024,100,0.719818093237012,1.0,62,63,70,70,45,1216,42,3,1.0,13
5.0,0.5,15,true,85,85,0.0,0.9981619669273973,99,0.8495761861914222,0.99,29,30,36,36,0,109,0,0,1.0,0
3.0,5.0,28,true,107,107,0.0,0.9994583462408748,95,0.8159770779889569,0.95,43,44,58,58,38,894,33,0,1.0,8
3.0,2.0,12,true,118,118,1.0,0.9998361846588197,93,0.8579229209658578,0.93,40,40,69,69,32,834,25,0,1.0,5
3.0,0.5,29,true,96,96,1.0,0.9994871809017023,98,0.8598842619595262,0.98,30,32,47,47,11,372,9,0,1.0,0
5.0,0.5,16,true,92,92,0.0,0.999055641569046,95,0.8536917878105038,0.95,31,31,43,43,2,153,0,0,1.0,1
3.0,0.0,15,true,86,86,0.0,0.9990562626214118,95,0.855738473522962,0.95,26,27,37,37,10,0,5,0,1.0,3
