alpha,beta,ratio,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.1,0.15,1.5,C_normative_only,19,116,true,43,42,67,67,0.0,0.9998586210182835,95,0.8463598090489935,0.95,116
0.1,0.15,1.5,C_normative_only,20,138,true,85,85,89,89,0.0,0.998868788071847,95,0.7789692007571333,0.95,138
0.1,0.15,1.5,C_normative_only,21,111,true,40,41,62,62,0.0,0.9996872104966211,95,0.8232478154514593,0.95,111
0.1,0.15,1.5,C_normative_only,22,116,true,57,59,66,67,1.0,0.999009433920966,98,0.7539224000764706,0.98,116
0.1,0.15,1.5,C_normative_only,23,76,true,27,27,26,27,0.0,0.9980551189997464,99,0.8486191127872048,0.99,76
0.1,0.15,1.5,C_normative_only,24,117,true,48,48,68,68,1.0,0.999696039993231,94,0.8087783761353443,0.94,117
0.1,0.15,1.5,C_normative_only,25,86,true,34,34,37,37,0.0,0.9987155068579261,96,0.8472707546238972,0.96,86
0.1,0.15,1.5,C_normative_only,26,86,true,31,32,37,37,0.0,0.9986772353228066,95,0.8521796065168386,0.95,86
0.1,0.15,1.5,C_normative_only,27,94,true,40,40,45,45,0.0,0.9986497073583217,99,0.8390851060282618,0.99,94
0.1,0.15,1.5,C_normative_only,28,103,true,45,45,54,54,0.0,0.9991672954532079,97,0.8184711136102428,0.97,103
0.1,0.15,1.5,C_normative_only,29,103,true,41,41,54,54,1.0,0.9995476060392354,96,0.826211569257899,0.96,103
0.1,0.15,1.5,C_normative_only,30,90,true,37,39,41,41,1.0,0.9987120836855944,96,0.8386733966522465,0.96,90
0.1,0.15,1.5,D_full_model,1,79,true,25,25,30,30,1.0,0.9986330191920108,97,0.850156358072039,0.97,79
0.1,0.15,1.5,D_full_model,2,123,true,39,41,74,74,0.0,0.9999337719188801,95,0.8504576881455372,0.95,123
0.1,0.15,1.5,D_full_model,3,84,true,30,30,35,35,1.0,0.9988980589377177,96,0.8523587919045519,0.96,84
0.1,0.15,1.5,D_full_model,4,89,true,38,38,40,40,0.0,0.9985460481865545,97,0.8386925783028163,0.97,89
0.1,0.15,1.5,D_full_model,5,109,true,44,46,60,60,1.0,0.9995660576360262,95,0.810259737870552,0.95,109
0.1,0.15,1.5,D_full_model,6,113,true,44,48,64,64,1.0,0.9996776228214297,94,0.8159013501986006,0.94,113
