theta_crystal,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
3.0,C_normative_only,20,104,true,32,33,55,55,0.0,0.9997369608979507,96,0.8554615824580027,0.96,104
3.0,C_normative_only,21,101,true,38,39,52,52,0.0,0.9992349659524209,100,0.8421932776265268,1.0,101
3.0,C_normative_only,22,82,true,28,29,29,29,0.0,0.9978158722956505,98,0.852205471273065,0.98,82
3.0,C_normative_only,23,108,true,49,49,59,59,1.0,0.9990764826827668,99,0.7868724886253372,0.99,108
3.0,C_normative_only,24,112,true,54,54,63,63,0.0,0.9976829421606663,97,0.7248989798644803,0.97,112
3.0,C_normative_only,25,73,true,24,22,22,24,1.0,0.9977687347713075,99,0.849109307254607,0.99,73
3.0,C_normative_only,26,80,true,31,31,29,31,1.0,0.9970795112132143,100,0.848973330548818,1.0,80
3.0,C_normative_only,27,77,true,28,28,26,28,1.0,0.9976133359194364,100,0.848751270766585,1.0,77
3.0,C_normative_only,28,82,true,33,33,33,33,1.0,0.9971626468260385,100,0.8450569592571336,1.0,82
3.0,C_normative_only,29,93,true,34,34,44,44,1.0,0.9990314551371321,98,0.8354198832247535,0.98,93
3.0,C_normative_only,30,79,true,25,29,28,30,0.0,0.9977411647438514,99,0.8504096451978038,0.99,79
3.0,D_full_model,1,75,true,24,24,26,26,0.0,0.9977411772379415,98,0.8486521791020454,0.98,75
3.0,D_full_model,2,74,true,21,24,25,25,0.0,0.9975225603688633,99,0.8482069158836754,0.99,74
3.0,D_full_model,3,74,true,23,23,25,25,1.0,0.9976776609297389,97,0.8490516928066619,0.97,74
3.0,D_full_model,4,96,true,34,34,47,47,1.0,0.9992344727189386,98,0.8457734837291989,0.98,96
3.0,D_full_model,5,77,true,28,28,28,28,0.0,0.9973842585405878,98,0.8490422122443855,0.98,77
3.0,D_full_model,6,76,true,23,23,27,27,1.0,0.997442895602989,99,0.8484033258662357,0.99,76
3.0,D_full_model,7,78,true,25,25,29,29,1.0,0.9979276792592049,99,0.850441736702214,0.99,78
3.0,D_full_model,8,67,true,16,17,18,18,1.0,0.9973573210203613,100,0.8468608919819358,1.0,67
3.0,D_full_model,9,80,true,26,29,31,31,1.0,0.9980670181529979,96,0.8502029317392324,0.96,80
3.0,D_full_model,10,109,true,42,42,60,60,0.0,0.9995789200130878,98,0.8130705678654964,0.98,109
3.0,D_full_model,11,99,true,34,34,50,50,0.0,0.9994453670185789,99,0.8559270451593276,0.99,99
3.0,D_full_model,12,91,true,30,31,42,42,0.0,0.9991120741878597,98,0.8518782357533559,0.98,91
3.0,D_full_model,13,75,true,25,25,26,26,1.0,0.9974392874189243,97,0.8488839670785309,0.97,75
3.0,D_full_model,14,95,true,31,29,46,46,1.0,0.999514225046827,98,0.8591715670138355,0.98,95
3.0,D_full_model,15,103,true,37,39,54,54,1.0,0.9994583454772389,99,0.8272774403610582,0.99,103
3.0,D_full_model,16,75,true,24,24,26,26,1.0,0.9974969292231584,98,0.848939597955986,0.98,75
3.0,D_full_model,17,74,true,25,25,25,25,0.0,0.9973390616955173,98,0.8487765697275491,0.98,74
3.0,D_full_model,18,75,true,24,24,24,24,1.0,0.9977305853985697,98,0.8486881936282774,0.98,75
3.0,D_full_model,19,101,true,32,32,52,52,0.0,0.9996573828547228,95,0.8577424482852085,0.95,101
3.0,D_full_model,20,105,true,30,32,56,56,1.0,0.999755638032962,96,0.8595819426155288,0.96,105
3.0,D_full_model,21,83,true,30,31,34,34,1.0,0.9975063778177564,98,0.8464510794723367,0.98,83
3.0,D_full_model,22,76,true,25,25,27,27,1.0,0.9974263561045581,96,0.8485081328353193,0.96,76
3.0,D_full_model,23,75,true,23,23,26,26,0.0,0.997978071153291,100,0.848999866739899,1.0,75
3.0,D_full_model,24,107,true,32,33,58,58,0.0,0.9997788406706012,98,0.8569125033057174,0.98,107
3.0,D_full_model,25,111,true,47,47,62,62,1.0,0.9993593287067744,96,0.7789891837764954,0.96,111
3.0,D_full_model,26,108,true,48,50,59,59,1.0,0.999029397580046,99,0.7644647763021447,0.99,108
3.0,D_full_model,27,109,true,35,36,60,60,0.0,0.9997710728334352,98,0.8471898774970332,0.98,109
3.0,D_full_model,28,84,true,33,33,35,35,0.0,0.9977274588152655,98,0.8455283060319156,0.98,84
3.0,D_full_model,29,79,true,28,30,29,30,0.0,0.9974584611699201,99,0.8492374878227658,0.99,79
3.0,D_full_model,30,97,true,34,35,48,48,1.0,0.9993251250110025,98,0.8465772978765742,0.98,97
5.0,A_baseline,1,0,false,644,644,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,2,0,false,335,234,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,3,0,false,1028,1028,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,4,0,false,1154,1158,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,5,0,false,1732,1732,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,6,0,false,149,148,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,7,0,false,896,896,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,8,0,false,844,844,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,9,0,false,972,970,0,0,0.62,0.2301473079444555,0,0.0,0.0,3000
5.0,A_baseline,10,0,false,556,559,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,11,0,false,208,208,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,12,0,false,886,983,0,0,0.0,0.999999999999971,0,0.0,0.0,3000
5.0,A_baseline,13,0,false,1712,1763,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,14,0,false,1520,1490,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,15,0,false,884,884,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,16,0,false,626,635,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,17,0,false,1579,1575,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,18,0,false,2466,2461,0,0,1.0,0.999999999736304,0,0.0,0.0,3000
5.0,A_baseline,19,0,false,725,725,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,20,0,false,1143,1143,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,21,0,false,1702,1730,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,22,0,false,795,788,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,23,0,false,1180,683,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,24,0,false,351,148,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,25,0,false,1225,1227,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,26,0,false,982,982,0,0,1.0,0.9020294610297692,0,0.0,0.0,3000
5.0,A_baseline,27,0,false,857,854,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,28,0,false,461,461,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
5.0,A_baseline,29,0,false,742,702,0,0,0.09,0.8030716729485492,0,0.0,0.0,3000
5.0,A_baseline,30,0,false,564,564,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
5.0,C_normative_only,1,109,true,50,51,60,60,0.0,0.9989118862661681,94,0.8460843651514689,0.94,109
5.0,C_normative_only,2,129,true,69,69,80,80,1.0,0.998840385003329,95,0.7834511633957394,0.95,129
5.0,C_normative_only,3,99,true,42,43,50,50,0.0,0.9987535985720597,97,0.843584395810071,0.97,99
5.0,C_normative_only,4,90,true,37,37,41,41,1.0,0.9983436025935752,100,0.8500779179023119,1.0,90
5.0,C_normative_only,5,103,true,43,43,54,54,0.0,0.9987495120428185,97,0.8496063148588071,0.97,103
5.0,C_normative_only,6,106,true,46,48,57,57,0.0,0.9987097619555904,97,0.8420056856251955,0.97,106
5.0,C_normative_only,7,88,true,39,39,38,39,1.0,0.99798766026628,100,0.8506154594858018,1.0,88
5.0,C_normative_only,8,106,true,50,50,57,57,0.0,0.998914907474787,93,0.8295600795436344,0.93,106
5.0,C_normative_only,9,142,true,87,89,93,93,1.0,0.9986205516121887,98,0.7892166282300658,0.98,142
5.0,C_normative_only,10,95,true,39,41,46,46,0.0,0.9984231757401756,95,0.8487862952984273,0.95,95
5.0,C_normative_only,11,143,true,57,57,94,94,1.0,0.9999521160724799,92,0.8394329728442007,0.92,143
5.0,C_normative_only,12,125,true,55,58,76,76,1.0,0.9995963956062431,94,0.8336802068303116,0.94,125
5.0,C_normative_only,13,134,true,72,75,85,85,1.0,0.9990728632419473,93,0.781065684795013,0.93,134
5.0,C_normative_only,14,127,true,78,78,78,78,1.0,0.998174113005481,97,0.7602514964705175,0.97,127
5.0,C_normative_only,15,91,true,31,38,42,42,1.0,0.9983902749284322,99,0.8513060522020667,0.99,91
5.0,C_normative_only,16,109,true,50,50,60,60,0.0,0.9988629337733331,96,0.8466830198704175,0.96,109
5.0,C_normative_only,17,113,true,54,56,64,64,1.0,0.9987718476266357,95,0.8083251166850927,0.95,113
5.0,C_normative_only,18,100,true,45,46,51,51,0.0,0.9986221254394272,99,0.8434473018028502,0.99,100
5.0,C_normative_only,19,117,true,61,61,68,68,1.0,0.9988427458811766,97,0.8078652981228378,0.97,117
5.0,C_normative_only,20,112,true,48,48,63,63,0.0,0.9994332890166114,93,0.8426276404123575,0.93,112
5.0,C_normative_only,21,89,true,38,38,40,40,0.0,0.9980335027338826,100,0.8451529917834674,1.0,89
5.0,C_normative_only,22,132,true,72,74,83,83,1.0,0.9990219165139945,96,0.7837361316918208,0.96,132
5.0,C_normative_only,23,93,true,41,42,44,44,1.0,0.9978811598322903,97,0.8460828428030122,0.97,93
5.0,C_normative_only,24,111,true,58,58,61,62,0.0,0.9979740193296663,97,0.7981280534350733,0.97,111
5.0,C_normative_only,25,100,true,44,44,51,51,0.0,0.9988174092623296,94,0.8530917860258357,0.94,100
5.0,C_normative_only,26,126,true,63,63,77,77,1.0,0.9993961574101076,96,0.8020349196705466,0.96,126
5.0,C_normative_only,27,119,true,59,61,70,70,1.0,0.9991610694690708,97,0.8079510479085127,0.97,119
5.0,C_normative_only,28,104,true,51,51,55,55,0.0,0.9984683413912676,96,0.8443082399871552,0.96,104
5.0,C_normative_only,29,106,true,49,50,57,57,0.0,0.9987476958039604,96,0.8408025236600724,0.96,106
5.0,C_normative_only,30,87,true,35,35,38,38,1.0,0.9979581732788863,98,0.8498238098529947,0.98,87
5.0,D_full_model,1,82,true,27,27,33,33,1.0,0.9984519772838104,100,0.8487593632376027,1.0,82
5.0,D_full_model,2,200,true,35,36,151,151,0.0,0.9999999831854764,92,0.9106892191806292,0.92,200
5.0,D_full_model,3,79,true,25,25,30,30,0.0,0.9984584620897333,100,0.848419807436077,1.0,79
5.0,D_full_model,4,88,true,33,34,39,39,0.0,0.9985257989378431,98,0.8500562036216796,0.98,88
5.0,D_full_model,5,114,true,53,54,65,65,1.0,0.9992645280652142,94,0.82806406701064,0.94,114
5.0,D_full_model,6,114,true,52,52,65,65,1.0,0.9992825034968952,96,0.8121050021827272,0.96,114
5.0,D_full_model,7,76,true,24,26,27,27,1.0,0.997927011036382,100,0.8473173318867545,1.0,76
5.0,D_full_model,8,136,true,66,66,87,87,0.0,0.9996625988650379,96,0.8060926760074297,0.96,136
5.0,D_full_model,9,91,true,33,33,42,42,0.0,0.9990818500770368,96,0.8533338890759424,0.96,91
