condition,tick,fraction_A,mean_confidence,coordination_rate,num_crystallised,mean_norm_strength,num_enforcements,belief_error,belief_variance,frac_dominant_norm,convergence_counter
A_baseline,72,0.6,0.2736822036643229,0.52,0,0.0,0,0.1519999999999999,0.042256,0.0,0
A_baseline,73,0.6,0.2694963395506355,0.48,0,0.0,0,0.13999999999999993,0.03654399999999999,0.0,0
A_baseline,74,0.5,0.26527212591880905,0.52,0,0.0,0,0.18400000000000008,0.04311600000000005,0.0,0
A_baseline,75,0.64,0.27437500055432085,0.56,0,0.0,0,0.17599999999999993,0.043856,0.0,0
A_baseline,76,0.61,0.2845012684328045,0.54,0,0.0,0,0.20800000000000018,0.06030000000000004,0.0,0
A_baseline,77,0.6,0.2740767016232887,0.4,0,0.0,0,0.17399999999999985,0.05150000000000004,0.0,0
A_baseline,78,0.64,0.2849623959815622,0.68,0,0.0,0,0.1955999999999999,0.055596000000000007,0.0,0
A_baseline,79,0.62,0.29341443085412044,0.64,0,0.0,0,0.20039999999999986,0.059116000000000085,0.0,0
A_baseline,80,0.57,0.2754189258278177,0.38,0,0.0,0,0.1812000000000001,0.05193600000000001,0.0,0
A_baseline,81,0.6,0.2833713878787643,0.52,0,0.0,0,0.16599999999999995,0.052364000000000015,0.0,0
A_baseline,82,0.59,0.27251080300589436,0.54,0,0.0,0,0.15999999999999998,0.04638400000000001,0.0,0
A_baseline,83,0.61,0.27320817942373893,0.5,0,0.0,0,0.16159999999999994,0.04599600000000002,0.0,0
A_baseline,84,0.53,0.27866903630164386,0.7,0,0.0,0,0.18619999999999998,0.04839999999999999,0.0,0
A_baseline,85,0.62,0.2714086823599212,0.44,0,0.0,0,0.16679999999999992,0.04670000000000005,0.0,0
A_baseline,86,0.61,0.27627977316191826,0.5,0,0.0,0,0.1834,0.05513600000000003,0.0,0
A_baseline,87,0.62,0.2691884429904237,0.52,0,0.0,0,0.16239999999999996,0.046796000000000025,0.0,0
A_baseline,88,0.58,0.2671993623464925,0.48,0,0.0,0,0.15159999999999996,0.03993600000000004,0.0,0
A_baseline,89,0.56,0.25161427303883266,0.36,0,0.0,0,0.1531999999999999,0.033195999999999996,0.0,0
A_baseline,90,0.61,0.26228097959220303,0.5,0,0.0,0,0.1403999999999999,0.03918400000000002,0.0,0
A_baseline,91,0.64,0.2630406303372851,0.48,0,0.0,0,0.1732,0.04039600000000006,0.0,0
A_baseline,92,0.59,0.25933201064679207,0.46,0,0.0,0,0.1522,0.04318400000000002,0.0,0
A_baseline,93,0.65,0.26259903167357096,0.46,0,0.0,0,0.17600000000000016,0.04670000000000005,0.0,0
A_baseline,94,0.68,0.2619677058576876,0.48,0,0.0,0,0.16599999999999995,0.04004399999999999,0.0,0
A_baseline,95,0.55,0.25114951736126406,0.46,0,0.0,0,0.15700000000000014,0.03271600000000007,0.0,0
A_baseline,96,0.6,0.2542696762033626,0.44,0,0.0,0,0.1339999999999999,0.03460400000000001,0.0,0
A_baseline,97,0.63,0.2452457522265181,0.38,0,0.0,0,0.13799999999999996,0.030316,0.0,0
A_baseline,98,0.64,0.2541939523550287,0.56,0,0.0,0,0.14479999999999993,0.035599999999999986,0.0,0
A_baseline,99,0.62,0.2703391494616088,0.56,0,0.0,0,0.16319999999999987,0.04633599999999999,0.0,0
A_baseline,100,0.6,0.27857155626664043,0.6,0,0.0,0,0.16599999999999987,0.04567599999999999,0.0,0
A_baseline,101,0.61,0.2803458274182205,0.54,0,0.0,0,0.19000000000000017,0.05479999999999998,0.0,0
A_baseline,102,0.63,0.28171526717323997,0.54,0,0.0,0,0.19460000000000005,0.054000000000000006,0.0,0
A_baseline,103,0.57,0.2769582425217366,0.5,0,0.0,0,0.18660000000000004,0.05396400000000003,0.0,0
A_baseline,104,0.61,0.2767784737198618,0.46,0,0.0,0,0.16299999999999987,0.04318399999999998,0.0,0
A_baseline,105,0.51,0.2575978743687948,0.38,0,0.0,0,0.18279999999999977,0.042603999999999996,0.0,0
A_baseline,106,0.58,0.2698497007914725,0.52,0,0.0,0,0.158,0.040399999999999964,0.0,0
A_baseline,107,0.56,0.27223156658636816,0.6,0,0.0,0,0.18199999999999988,0.048843999999999985,0.0,0
A_baseline,108,0.53,0.2738861245120483,0.42,0,0.0,0,0.18160000000000007,0.04583599999999998,0.0,0
A_baseline,109,0.57,0.27241036361626486,0.54,0,0.0,0,0.1679999999999999,0.04430000000000001,0.0,0
