Phi,theta_crystal,sigma_0,k,trial,converged,convergence_tick,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.0,1.5,1.0,1.0,1,true,87,34,34,38,38,1.0,0.9984256960181337,100,0.9896606972392238,1.0,87
0.0,1.5,1.0,1.0,2,true,93,41,43,44,44,0.0,0.9980879018672364,100,0.8564753092514887,1.0,93
0.0,1.5,1.0,1.0,3,true,84,30,30,35,35,0.0,0.9987507697723433,100,0.9896087409439435,1.0,84
0.0,1.5,1.0,1.0,4,true,88,35,37,39,39,1.0,0.998206415390323,100,0.9534569659430189,1.0,88
0.0,1.5,1.0,1.0,5,true,88,32,32,39,39,0.0,0.9986277329197379,100,0.9643585658734349,1.0,88
0.0,1.5,1.0,1.0,6,true,119,67,67,70,70,1.0,0.997490997335615,100,0.7543763768815935,1.0,119
0.0,1.5,1.0,1.0,7,true,99,48,49,50,50,0.0,0.9974563264024819,100,0.7792638708534182,1.0,99
0.0,1.5,1.0,1.0,8,true,86,32,32,37,37,0.0,0.9986907535218416,100,0.9794000404263873,1.0,86
0.0,1.5,1.0,1.0,9,true,93,43,43,44,44,1.0,0.9972716567042427,100,0.8177988364097162,1.0,93
0.0,1.5,1.0,1.0,10,true,83,21,26,34,34,1.0,0.998907749217647,100,1.0,1.0,83
0.0,1.5,1.0,1.0,11,true,94,44,44,45,45,0.0,0.9974905852253021,100,0.7886717354680371,1.0,94
0.0,1.5,1.0,1.0,12,true,81,23,22,32,32,0.0,0.9989082471949179,100,1.0,1.0,81
0.0,1.5,1.0,1.0,13,true,87,33,33,38,38,1.0,0.998450305829743,100,0.9740526121108752,1.0,87
0.0,1.5,1.0,1.0,14,true,97,48,48,48,48,0.0,0.9973040248495646,100,0.7693350852414557,1.0,97
0.0,1.5,1.0,1.0,15,true,96,45,47,46,47,1.0,0.9971083747853561,100,0.7828020094243489,1.0,96
0.0,1.5,1.0,1.0,16,true,84,30,30,35,35,0.0,0.9987289628688049,100,1.0,1.0,84
0.0,1.5,1.0,1.0,17,true,114,61,61,63,65,0.0,0.9978524274724175,100,0.7799574850597353,1.0,114
0.0,1.5,1.0,1.0,18,true,87,35,36,38,38,0.0,0.9982915231942462,100,0.9527141239856982,1.0,87
0.0,1.5,1.0,1.0,19,true,96,42,47,46,47,1.0,0.9978652158376381,100,0.7963863992248201,1.0,96
0.0,1.5,1.0,1.0,20,true,94,44,45,45,45,1.0,0.9977171229429541,100,0.8280840341490727,1.0,94
0.0,1.5,1.0,2.0,1,true,67,18,18,16,18,1.0,0.9972719536019693,100,1.0,1.0,67
0.0,1.5,1.0,2.0,2,true,88,24,26,39,39,1.0,0.999147820704059,100,0.9794991788311128,1.0,88
0.0,1.5,1.0,2.0,3,true,92,34,39,43,43,0.0,0.9986557565754609,100,0.9187249764031543,1.0,92
0.0,1.5,1.0,2.0,4,true,91,32,35,42,42,0.0,0.998686554379508,100,0.8975418522791411,1.0,91
0.0,1.5,1.0,2.0,5,true,92,37,37,43,43,1.0,0.9986357689997127,100,0.8827536679913212,1.0,92
