N,condition,exp_on,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
20,Neither,false,false,33,false,0,0,0,0.4,0.6,0,0.0,0.22333333333333324,0.0,3000
20,Neither,false,false,29,false,0,0,0,0.3,0.65,0,0.0,0.24833333333333335,0.0,3000
20,Neither,false,false,5,false,0,0,0,0.5,0.65,0,0.0,0.2766666666666667,0.0,3000
20,Neither,false,false,32,false,0,0,0,0.4,0.5,0,0.0,0.2125,0.0,3000
20,Neither,false,false,40,false,0,237,0,0.7,0.75,0,0.0,0.29166666666666663,0.0,3000
20,Neither,false,false,8,false,0,0,0,0.4,0.5,0,0.0,0.20833333333333331,0.0,3000
20,Neither,false,false,14,false,0,0,0,0.9,0.55,0,0.0,0.23166666666666663,0.0,3000
20,Neither,false,false,20,false,0,0,0,0.6,0.6,0,0.0,0.33333333333333337,0.0,3000
20,Neither,false,false,50,false,0,0,0,0.6,0.6,0,0.0,0.305,0.0,3000
20,Neither,false,false,46,false,0,0,0,0.6,0.7,0,0.0,0.29833333333333334,0.0,3000
20,Neither,false,false,44,false,0,0,0,0.6,0.8,0,0.0,0.285,0.0,3000
20,Neither,false,false,42,false,0,0,0,0.3,0.55,0,0.0,0.23500000000000001,0.0,3000
20,Neither,false,false,26,false,0,0,0,0.4,0.6,0,0.0,0.2908333333333332,0.0,3000
20,Neither,false,false,38,false,0,0,0,0.3,0.55,0,0.0,0.25,0.0,3000
20,Neither,false,false,2,false,0,0,0,0.4,0.5,0,0.0,0.24583333333333335,0.0,3000
20,Neither,false,false,11,false,0,0,0,0.6,0.7,0,0.0,0.3175,0.0,3000
20,Neither,false,false,23,false,0,0,0,0.5,0.65,0,0.0,0.29166666666666663,0.0,3000
20,Neither,false,false,36,false,0,0,0,0.7,0.75,0,0.0,0.27499999999999997,0.0,3000
20,Neither,false,false,17,false,0,42,0,0.6,0.5,0,0.0,0.23333333333333334,0.0,3000
20,Neither,false,false,48,false,0,0,0,0.4,0.6,0,0.0,0.20166666666666666,0.0,3000
20,Neither,false,false,30,false,0,0,0,0.8,0.5,0,0.0,0.20833333333333331,0.0,3000
20,Neither,false,false,9,false,0,0,0,0.5,0.55,0,0.0,0.21999999999999997,0.0,3000
20,Neither,false,false,34,false,0,0,0,0.6,0.5,0,0.0,0.27083333333333337,0.0,3000
20,Neither,false,false,6,false,0,0,0,0.6,0.5,0,0.0,0.20416666666666666,0.0,3000
20,Neither,false,false,15,false,0,0,0,0.2,0.6,0,0.0,0.25083333333333335,0.0,3000
20,Neither,false,false,21,false,0,0,0,0.4,0.6,0,0.0,0.2541666666666667,0.0,3000
20,Neither,false,false,27,false,0,0,0,0.6,0.7,0,0.0,0.2783333333333333,0.0,3000
