condition,tick,fraction_A,coordination_rate,mean_confidence,num_crystallised,mean_norm_strength,belief_error,num_enforcements
Neither,40,0.54,0.48,0.2633183177374841,0,0.0,0.27946666666666653,0
Neither,41,0.47,0.34,0.25751988867111114,0,0.0,0.2943333333333333,0
Neither,42,0.54,0.48,0.26103613253481067,0,0.0,0.28033333333333316,0
Neither,43,0.44,0.44,0.2606304368412973,0,0.0,0.2414333333333333,0
Neither,44,0.48,0.52,0.267349402334436,0,0.0,0.2573666666666668,0
Neither,45,0.44,0.56,0.2704186943407221,0,0.0,0.2408999999999998,0
Neither,46,0.52,0.48,0.2716379610142718,0,0.0,0.24896666666666678,0
Neither,47,0.5,0.52,0.27850471477948396,0,0.0,0.23666666666666678,0
Neither,48,0.44,0.4,0.277183405708079,0,0.0,0.2664333333333333,0
Neither,49,0.57,0.46,0.29153483664516694,0,0.0,0.24010000000000026,0
Neither,50,0.42,0.44,0.28417142234004156,0,0.0,0.24226666666666655,0
Neither,51,0.47,0.46,0.27398834980151265,0,0.0,0.22400000000000006,0
Neither,52,0.43,0.46,0.27325261740714796,0,0.0,0.29620000000000013,0
Neither,53,0.46,0.48,0.27690662694779833,0,0.0,0.22886666666666655,0
Neither,54,0.55,0.46,0.2723555196991115,0,0.0,0.28833333333333333,0
Neither,55,0.54,0.52,0.2782392303198593,0,0.0,0.24229999999999985,0
Neither,56,0.55,0.62,0.26662320328205147,0,0.0,0.22633333333333355,0
Neither,57,0.53,0.5,0.2522756215444506,0,0.0,0.25229999999999997,0
Neither,58,0.47,0.42,0.25393928438918345,0,0.0,0.23819999999999988,0
Neither,59,0.51,0.5,0.24512029931024237,0,0.0,0.29053333333333337,0
Neither,60,0.51,0.62,0.24936250640570948,0,0.0,0.2644666666666666,0
Neither,61,0.5,0.68,0.249244835810907,0,0.0,0.2516666666666667,0
Neither,62,0.47,0.54,0.2502991634704724,0,0.0,0.2776666666666667,0
Neither,63,0.57,0.38,0.24282343205623266,0,0.0,0.2914666666666669,0
Neither,64,0.55,0.42,0.24464994147216454,0,0.0,0.26550000000000007,0
Neither,65,0.49,0.58,0.24444745764472028,0,0.0,0.23233333333333342,0
Neither,66,0.38,0.48,0.2559809512355864,0,0.0,0.26670000000000016,0
Neither,67,0.59,0.54,0.2594813267076306,0,0.0,0.2639333333333334,0
Neither,68,0.45,0.62,0.25555922089562433,0,0.0,0.26550000000000007,0
Neither,69,0.56,0.44,0.24655982970746954,0,0.0,0.2549666666666665,0
Neither,70,0.55,0.5,0.2473593818346772,0,0.0,0.23733333333333342,0
Neither,71,0.57,0.58,0.2539703565045381,0,0.0,0.2518000000000001,0
Neither,72,0.48,0.32,0.23936855412027455,0,0.0,0.25429999999999997,0
