condition,forcing_fraction,trial,converged,flip,recovery_ticks,perturbation_depth,norm_survival,recrystallisation
EWA_RL,0.2,34,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,35,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,36,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,37,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,38,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,39,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,40,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,41,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,42,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,43,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,44,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,45,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,46,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,47,true,false,2,0.8,NaN,NaN
EWA_RL,0.2,48,true,false,1,0.79,NaN,NaN
EWA_RL,0.2,49,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,50,true,false,1,0.8,NaN,NaN
EWA_RL,0.25,1,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,2,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,3,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,4,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,5,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,6,true,false,2,0.75,NaN,NaN
EWA_RL,0.25,7,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,8,true,false,2,0.75,NaN,NaN
EWA_RL,0.25,9,true,false,2,0.75,NaN,NaN
EWA_RL,0.25,10,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,11,true,false,2,0.74,NaN,NaN
EWA_RL,0.25,12,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,13,true,false,1,0.74,NaN,NaN
EWA_RL,0.25,14,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,15,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,16,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,17,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,18,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,19,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,20,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,21,true,false,1,0.74,NaN,NaN
EWA_RL,0.25,22,true,false,1,0.75,NaN,NaN
EWA_RL,0.25,23,true,false,1,0.75,NaN,NaN
