Phi,theta_crystal,sigma_0,k,trial,converged,convergence_tick,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.0,1.5,1.0,4.0,19,true,94,35,37,45,45,1.0,0.9985601109654095,100,0.8482700399192279,1.0,94
0.0,1.5,1.0,4.0,20,true,90,29,29,41,41,0.0,0.99920467611135,100,0.9747040782836297,1.0,90
0.0,5.0,0.5,1.0,1,false,0,51,53,0,0,0.0,0.9999999999999999,89,0.9999997998912974,0.89,3000
0.0,5.0,0.5,1.0,2,true,89,33,33,40,40,0.0,0.9987166143081793,99,0.6290458829048838,0.99,89
0.0,5.0,0.5,1.0,3,true,81,26,26,32,32,1.0,0.9984437721004612,99,0.6227279263903488,0.99,81
0.0,5.0,0.5,1.0,4,true,92,31,32,43,43,1.0,0.9987604306082531,93,0.6307703978590513,0.93,92
0.0,5.0,0.5,1.0,5,true,88,34,33,39,39,1.0,0.9984738865303009,98,0.6262679475026889,0.98,88
0.0,5.0,0.5,1.0,6,true,127,49,52,78,78,0.0,0.9998477487736835,90,0.6503153123876756,0.9,127
0.0,5.0,0.5,1.0,7,true,98,38,38,49,49,0.0,0.9991190301486342,94,0.639115521144493,0.94,98
0.0,5.0,0.5,1.0,8,true,92,30,30,43,43,1.0,0.9991862909420469,94,0.6396950080436723,0.94,92
0.0,5.0,0.5,1.0,9,true,83,29,29,34,34,0.0,0.998495182459456,97,0.6244185931762222,0.97,83
0.0,5.0,0.5,1.0,10,true,89,35,35,40,40,1.0,0.9984166317073566,97,0.6243040875354297,0.97,89
0.0,5.0,0.5,1.0,11,true,100,42,42,51,51,1.0,0.9990109900800013,94,0.6322398801567717,0.94,100
0.0,5.0,0.5,1.0,12,true,84,27,27,35,35,1.0,0.9989434892422717,97,0.6275262742246056,0.97,84
0.0,5.0,0.5,1.0,13,true,87,31,32,38,38,1.0,0.9985364314823464,97,0.6281461936286791,0.97,87
0.0,5.0,0.5,1.0,14,true,121,51,51,72,72,1.0,0.9996763292369677,92,0.6435851528200757,0.92,121
0.0,5.0,0.5,1.0,15,false,0,51,51,0,0,0.0,0.9999999999999999,89,0.9999998047139239,0.89,3000
0.0,5.0,0.5,1.0,16,true,84,28,28,35,35,0.0,0.9986212464844796,97,0.6267793457902455,0.97,84
0.0,5.0,0.5,1.0,17,true,82,28,28,33,33,1.0,0.9985222022716016,99,0.623701774537379,0.99,82
0.0,5.0,0.5,1.0,18,true,88,34,34,39,39,0.0,0.9985071084095004,95,0.6304045082833554,0.95,88
0.0,5.0,0.5,1.0,19,true,90,34,34,41,41,1.0,0.9985812239989539,98,0.6306379905437757,0.98,90
0.0,5.0,0.5,1.0,20,true,96,40,40,47,47,1.0,0.9988533389442802,95,0.6343620224333811,0.95,96
0.5,3.0,0.8,2.0,1,true,114,49,47,65,65,1.0,0.9995775337796126,99,0.8497851634921781,0.99,114
0.5,3.0,0.8,2.0,2,true,77,28,28,27,28,1.0,0.9973631145549493,100,0.849342348384925,1.0,77
0.5,3.0,0.8,2.0,3,true,79,28,28,30,30,0.0,0.9973306694257903,97,0.8489765514022475,0.97,79
