condition,trial,symmetry_break_tick,agent_divergence_at_break,first_mover_mean_C,diffusion_duration,crystal_cascade_bursts,steady_state_tick,enforcement_at_steady,recovery_ticks,perturbation_depth,norm_survival_rate,recrystallisation_rate,norm_flip
EWA_BL,18,1,0.4828048776260444,NaN,12,0,13,0.0,1,0.79,NaN,NaN,false
EWA_BL,19,24,0.33821708443646686,NaN,12,0,36,0.0,1,0.79,NaN,NaN,false
EWA_BL,20,4,0.38447529195279406,NaN,12,0,16,0.0,1,0.79,NaN,NaN,false
EWA_BL,21,1,0.48515579915621154,NaN,10,0,11,0.0,1,0.8,NaN,NaN,false
EWA_BL,22,14,0.34704440566114786,NaN,12,0,26,0.0,1,0.78,NaN,NaN,false
EWA_BL,23,5,0.40701718567341694,NaN,11,0,16,0.0,1,0.8,NaN,NaN,false
EWA_BL,24,12,0.375416798297336,NaN,12,0,24,0.0,1,0.8,NaN,NaN,false
EWA_BL,25,16,0.3426166060977881,NaN,11,0,27,0.0,1,0.79,NaN,NaN,false
EWA_BL,26,3,0.45281708800873405,NaN,9,0,12,0.0,1,0.8,NaN,NaN,false
EWA_BL,27,3,0.4302860644861955,NaN,11,0,14,0.0,1,0.79,NaN,NaN,false
EWA_BL,28,5,0.399215290222091,NaN,10,0,15,0.0,1,0.78,NaN,NaN,false
EWA_BL,29,8,0.37034780155275654,NaN,14,0,22,0.0,1,0.8,NaN,NaN,false
EWA_BL,30,19,0.3300404080654224,NaN,13,0,34,0.0,1,0.8,NaN,NaN,false
EWA_BL,31,9,0.3593894273242183,NaN,12,0,21,0.0,1,0.8,NaN,NaN,false
EWA_BL,32,14,0.344796174103026,NaN,12,0,26,0.0,1,0.8,NaN,NaN,false
EWA_BL,33,16,0.35112889397544284,NaN,12,0,28,0.0,1,0.8,NaN,NaN,false
EWA_BL,34,7,0.381155120148381,NaN,13,0,20,0.0,1,0.8,NaN,NaN,false
EWA_BL,35,1,0.4851557991562116,NaN,12,0,13,0.0,1,0.8,NaN,NaN,false
