theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.2,7,true,74,74,1.0,0.9978295783693122,97,0.8507064913633037,0.97,17,23,23,23,3,159,0,0,1.0,0
3.0,0.7,19,true,110,110,1.0,0.999766741845606,97,0.8652949956913207,0.97,38,38,61,61,16,603,13,0,1.0,1
3.0,2.0,24,true,112,112,0.0,0.9998813525047744,97,0.8697895722229807,0.97,34,34,63,63,20,551,17,0,1.0,3
3.0,5.0,16,true,115,115,1.0,0.9998604694368801,97,0.8646336763371512,0.97,34,37,66,66,28,705,25,0,1.0,2
3.0,0.3,30,true,123,123,0.0,0.999809920661352,95,0.8398797013099181,0.95,48,51,74,74,27,887,22,0,1.0,11
3.0,0.0,20,true,103,103,1.0,0.9995660480211062,98,0.8534566876178696,0.98,34,34,54,54,17,0,15,0,1.0,4
3.0,0.7,20,true,98,98,0.0,0.9995242484096551,98,0.861500319190351,0.98,31,31,49,49,11,409,9,0,1.0,1
3.0,2.0,25,true,74,74,0.0,0.997636861036487,99,0.8493620073920821,0.99,25,25,18,25,6,233,5,0,1.0,0
3.0,0.2,8,true,108,108,1.0,0.9996910132838138,98,0.8592699366852524,0.98,37,38,59,59,15,571,13,0,1.0,0
3.0,5.0,17,true,111,111,0.0,0.9994809103090958,94,0.8008435147129397,0.94,45,45,62,62,40,967,34,0,1.0,5
3.0,1.5,1,true,79,79,0.0,0.9978797642897755,100,0.8499054205756619,1.0,26,27,30,30,10,321,10,0,1.0,0
3.0,0.5,1,true,101,101,0.0,0.9995575715282241,96,0.862819162959243,0.96,33,35,52,52,15,459,11,0,1.0,1
3.0,0.0,21,true,104,104,0.0,0.9988176021956677,97,0.7638496120475081,0.97,47,47,55,55,27,0,23,1,1.0,12
3.0,5.0,18,true,66,66,1.0,0.9971934879033824,100,0.8464662278674822,1.0,16,16,17,17,0,67,0,0,1.0,0
3.0,1.5,2,true,66,66,1.0,0.997394896299712,100,0.8463710843433381,1.0,15,17,17,17,0,54,0,0,1.0,0
3.0,0.7,21,true,110,110,1.0,0.9997381524231399,99,0.8642757954315713,0.99,36,37,61,61,17,556,16,0,1.0,0
3.0,0.2,9,true,107,107,1.0,0.9994960839307067,99,0.8624717300917091,0.99,36,36,58,58,17,575,16,0,1.0,0
3.0,2.0,26,true,154,154,1.0,0.9994432409937848,97,0.8538076881492137,0.97,86,85,105,105,120,1766,70,47,1.0,27
3.0,0.0,22,true,76,76,1.0,0.9975073938625887,98,0.8478150685406856,0.98,24,25,27,27,6,0,4,0,1.0,1
3.0,5.0,19,true,66,66,0.0,0.9974534529930332,100,0.8467312254960198,1.0,16,16,17,17,0,62,0,0,1.0,0
3.0,1.5,3,true,80,80,1.0,0.9983809289635626,98,0.8528211379423841,0.98,25,27,23,28,7,248,5,0,1.0,0
3.0,0.5,2,true,119,119,1.0,0.998334569212423,99,0.714575637580744,0.99,67,67,70,70,44,1209,40,3,1.0,14
3.0,0.2,10,true,72,72,1.0,0.9973280965039816,100,0.8469570873021329,1.0,23,23,23,23,3,162,3,0,1.0,0
3.0,0.7,22,true,119,119,1.0,0.9979776772696544,100,0.7141320437234313,1.0,65,68,70,70,45,1264,41,4,1.0,13
3.0,0.0,23,true,96,96,0.0,0.9994474173880988,98,0.8599898163042844,0.98,31,31,47,47,14,0,12,0,1.0,2
3.0,2.0,27,true,106,106,1.0,0.9994685227147794,95,0.8460001389774401,0.95,40,40,57,57,32,801,27,0,1.0,3
3.0,5.0,20,true,115,115,1.0,0.9999013815803484,97,0.8716458199472893,0.97,33,33,66,66,22,511,20,0,1.0,2
3.0,0.2,11,true,74,74,1.0,0.9969356957970479,100,0.8468228339576243,1.0,24,24,25,25,4,199,4,0,1.0,0
3.0,1.5,4,true,103,103,1.0,0.9996288603605712,97,0.8633352795439383,0.97,37,36,54,54,17,531,14,0,1.0,0
3.0,0.5,3,true,83,83,0.0,0.9983207520602568,100,0.8520773744977358,1.0,31,31,29,31,7,273,7,0,1.0,0
3.0,0.7,23,true,77,77,0.0,0.9977314087506081,99,0.8493939427834557,0.99,23,28,26,28,5,219,4,0,1.0,0
3.0,0.0,24,true,97,97,0.0,0.999547181077913,98,0.859797610232714,0.98,29,29,48,48,13,0,11,0,1.0,3
3.0,2.0,28,true,107,107,0.0,0.9994614884938374,97,0.8460918508052496,0.97,41,41,58,58,30,807,27,0,1.0,5
3.0,0.5,4,true,71,71,1.0,0.997423664203078,100,0.8476712526572732,1.0,18,18,22,22,3,119,3,0,1.0,0
3.0,5.0,21,true,103,103,1.0,0.9993329547682588,98,0.8486657380834046,0.98,40,42,54,54,31,786,29,0,1.0,7
3.0,0.2,12,true,105,105,0.0,0.999672058839429,100,0.8622882028550168,1.0,36,36,56,56,14,466,14,0,1.0,0
3.0,0.7,24,true,78,78,0.0,0.9974544935679127,99,0.8477835839398125,0.99,29,28,27,29,8,315,7,0,1.0,0
3.0,0.0,25,true,83,83,1.0,0.9976794409255586,100,0.832022121641008,1.0,31,31,32,32,7,0,7,0,1.0,3
3.0,0.5,5,true,76,76,1.0,0.9976666804843913,98,0.849379262735825,0.98,25,24,25,25,5,210,3,0,1.0,0
3.0,0.2,13,true,83,83,1.0,0.9977383824762768,97,0.8511654373728915,0.97,33,34,33,34,10,380,7,0,1.0,0
3.0,5.0,22,true,108,108,0.0,0.9994465574969634,99,0.7915433949545332,0.99,44,44,59,59,38,958,37,0,1.0,4
3.0,2.0,29,true,132,132,1.0,0.999968136950644,92,0.8669401090284974,0.92,40,40,83,83,31,785,23,0,1.0,3
3.0,0.7,25,true,117,117,0.0,0.9991811280416012,98,0.8162295303451464,0.98,56,58,68,68,33,1046,31,0,1.0,9
3.0,0.5,6,true,77,77,1.0,0.9976468547783303,99,0.8500153845519752,0.99,27,28,23,28,4,243,3,0,1.0,0
3.0,1.5,5,true,111,111,0.0,0.9985594174487937,98,0.7171061124669278,0.98,51,51,62,62,42,1082,40,0,1.0,9
3.0,0.0,26,true,102,102,0.0,0.9991368500230682,99,0.8044079453462155,0.99,40,40,53,53,19,0,18,0,1.0,7
3.0,0.2,14,true,75,75,1.0,0.9977038163213904,99,0.8482084226631564,0.99,22,23,26,26,3,174,3,0,1.0,1
3.0,2.0,30,true,101,101,0.0,0.9995754639119353,99,0.8623726224388557,0.99,33,34,52,52,18,508,17,0,1.0,2
3.0,5.0,23,true,105,105,0.0,0.9991481358835719,97,0.8347373229090291,0.97,46,43,56,56,37,876,34,0,1.0,7
3.0,0.0,27,true,80,80,1.0,0.9976528352114502,99,0.8459344016847543,0.99,28,30,31,31,6,0,6,0,1.0,0
3.0,0.5,7,true,79,79,0.0,0.9972930760823943,98,0.8489173635455106,0.98,27,28,29,30,8,334,6,0,1.0,0
3.0,0.7,26,true,112,112,1.0,0.9996907415717833,94,0.8606931227967182,0.94,42,41,63,63,27,793,21,0,1.0,3
3.0,1.5,6,true,108,108,1.0,0.9996422198200938,94,0.865625043477509,0.94,42,42,59,59,22,644,16,0,1.0,3
3.0,3.0,1,true,78,78,0.0,0.9978596829086815,99,0.851503402084882,0.99,27,27,20,27,8,279,7,0,1.0,0
3.0,0.2,15,true,108,108,1.0,0.9996304744985355,98,0.8626696058247384,0.98,40,40,59,59,17,613,15,0,1.0,3
3.0,5.0,24,true,114,114,0.0,0.9977339136368889,100,0.7221734616126041,1.0,65,65,63,65,67,1138,50,17,1.0,10
3.0,0.5,8,true,76,76,0.0,0.9973567991231898,97,0.8488883016285736,0.97,25,27,26,27,7,272,4,0,1.0,0
3.0,3.0,2,true,77,77,0.0,0.99798151610175,99,0.8496750111963233,0.99,27,27,28,28,8,267,8,0,1.0,0
3.0,0.7,27,true,103,103,1.0,0.9994439606033871,96,0.8611932354526215,0.96,36,37,54,54,19,594,15,0,1.0,0
3.0,0.0,28,true,97,97,1.0,0.998947017696146,99,0.822189402089209,0.99,38,40,48,48,15,0,14,0,1.0,7
3.0,0.2,16,true,83,83,0.0,0.9970973846900112,98,0.8492335968776705,0.98,34,34,34,34,9,370,7,0,1.0,0
3.0,1.5,7,true,110,110,1.0,0.9991618849011128,99,0.8152004835296255,0.99,47,47,61,61,35,943,34,0,1.0,6
3.0,5.0,25,true,99,99,1.0,0.9997461979075563,98,0.8653194654155127,0.98,25,25,50,50,10,322,9,0,1.0,0
3.0,0.7,28,true,82,82,0.0,0.9982930711097775,97,0.854177912306153,0.97,28,28,27,28,6,269,3,0,1.0,0
3.0,0.5,9,true,83,83,1.0,0.9977114773656309,99,0.8513552776422906,0.99,29,34,31,34,10,384,9,0,1.0,0
3.0,0.2,17,true,79,79,0.0,0.9975241697785373,97,0.8496350585296845,0.97,30,30,30,30,8,327,5,0,1.0,0
3.0,0.0,29,true,78,78,0.0,0.9977875309594243,98,0.8485326898074034,0.98,26,27,29,29,7,0,5,0,1.0,1
3.0,3.0,3,true,120,120,1.0,0.9999207555605303,95,0.8607900960834078,0.95,36,38,71,71,29,723,25,0,1.0,2
3.0,1.5,8,true,112,112,0.0,0.9996576231828861,96,0.8597679096100054,0.96,42,42,63,63,28,762,24,0,1.0,5
3.0,5.0,26,true,109,109,0.0,0.9981661602132545,100,0.6561316287390891,1.0,54,54,57,57,45,1089,45,0,1.0,6
5.0,2.0,29,false,0,3000,1.0,0.9999999999999999,86,0.9999999233705105,0.86,55,55,0,0,17,666,5,0,1.0,4
