condition,w_base,w_max,enable_normative,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
B_lockin_only,2,6,false,37,0,false,111,109,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,38,0,false,51,56,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,39,0,false,106,106,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,40,0,false,86,83,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,41,0,false,52,60,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,42,0,false,78,78,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,43,0,false,72,72,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,44,0,false,109,109,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,45,0,false,105,105,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,46,0,false,68,69,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,47,0,false,77,87,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,48,0,false,183,183,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,49,0,false,55,54,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,50,0,false,76,76,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
C_normative_only,5,5,true,1,78,true,29,29,27,29,1.0,0.9973633385340277,98,0.8499153611082177,0.98,78
C_normative_only,5,5,true,2,124,true,68,70,71,71,1.0,0.998398544572778,100,0.7302900001208983,1.0,124
C_normative_only,5,5,true,3,101,true,42,42,52,52,1.0,0.9990241662075079,99,0.8133892796900792,0.99,101
C_normative_only,5,5,true,4,100,true,38,39,51,51,0.0,0.9993309895027881,99,0.8342733130987913,0.99,100
C_normative_only,5,5,true,5,113,true,60,60,63,64,0.0,0.9979614388950218,98,0.7245061444304752,0.98,113
C_normative_only,5,5,true,6,118,true,66,67,69,69,1.0,0.9980566988042817,99,0.7350977707644595,0.99,118
C_normative_only,5,5,true,7,72,true,23,23,22,23,0.0,0.997384497747843,100,0.848436093572549,1.0,72
C_normative_only,5,5,true,8,99,true,36,36,50,50,1.0,0.9993861049587001,97,0.8437747991550826,0.97,99
C_normative_only,5,5,true,9,105,true,38,39,56,56,0.0,0.9995331643235806,97,0.854630774923599,0.97,105
C_normative_only,5,5,true,10,74,true,23,25,22,25,0.0,0.9972373975674959,98,0.8487423917100717,0.98,74
C_normative_only,5,5,true,11,78,true,28,29,28,29,0.0,0.9973593998538842,99,0.8474953227467863,0.99,78
C_normative_only,5,5,true,12,85,true,34,34,36,36,1.0,0.9981565516681876,99,0.8467077249633361,0.99,85
C_normative_only,5,5,true,13,81,true,31,31,32,32,0.0,0.997657378860654,96,0.8511244202476286,0.96,81
C_normative_only,5,5,true,14,112,true,47,47,63,63,1.0,0.9994255895585864,98,0.8218151731716364,0.98,112
C_normative_only,5,5,true,15,110,true,57,57,61,61,1.0,0.9982373319842506,100,0.7286973839372295,1.0,110
C_normative_only,5,5,true,16,80,true,29,30,30,31,0.0,0.9977528906988036,97,0.8499099514753414,0.97,80
C_normative_only,5,5,true,17,119,true,70,70,66,70,1.0,0.997723772293709,100,0.7002982431598248,1.0,119
C_normative_only,5,5,true,18,103,true,38,38,54,54,1.0,0.999457744221286,98,0.8404860571431059,0.98,103
C_normative_only,5,5,true,19,108,true,48,47,59,59,0.0,0.999335233274633,97,0.7973875093954842,0.97,108
C_normative_only,5,5,true,20,100,true,37,37,51,51,1.0,0.9994207278998849,98,0.851160895015535,0.98,100
C_normative_only,5,5,true,21,81,true,32,32,31,32,0.0,0.9976710294510714,98,0.8500356787222216,0.98,81
