V,Phi,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0,2.0,C_normative_only,28,0,false,0,0,0,0,0.22,0.41237059332498566,100,0.9979355096141204,0.77,3000
0,2.0,C_normative_only,29,97,true,26,26,19,26,0.03,0.8961543413205686,100,0.8633382846002438,0.97,97
0,2.0,C_normative_only,30,0,false,87,62,0,0,0.11,0.6569930961444558,100,0.9938581442688474,0.89,3000
0,2.0,D_full_model,1,392,true,20,21,18,24,0.03,0.8590590902340434,100,0.9598072536296027,0.95,392
0,2.0,D_full_model,2,71,true,20,20,17,20,0.02,0.9355587665400911,100,0.8482301972641448,0.98,71
0,2.0,D_full_model,3,0,false,0,0,0,0,0.2,0.45005777446881795,100,0.9972676746034856,0.79,3000
0,2.0,D_full_model,4,0,false,0,0,0,0,0.27,0.35622780982681407,100,0.9988300213161894,0.72,3000
0,2.0,D_full_model,5,0,false,0,0,0,0,0.76,0.4050918531517623,100,0.9980202091495233,0.76,3000
0,2.0,D_full_model,6,0,false,0,0,0,0,0.12,0.5982884549776801,100,0.9947811264849707,0.86,3000
0,2.0,D_full_model,7,132,true,19,19,19,19,0.03,0.9111549154754992,100,0.8842829794480302,0.97,132
0,2.0,D_full_model,8,439,true,19,21,18,21,0.96,0.8468866071781781,100,0.9660565960936357,0.95,439
0,2.0,D_full_model,9,0,false,0,0,0,0,0.27,0.3636050137147963,100,0.998702185225883,0.73,3000
0,2.0,D_full_model,10,0,false,0,0,0,0,0.64,0.3143156755782802,100,0.9995902304659282,0.64,3000
0,2.0,D_full_model,11,0,false,0,0,0,0,0.87,0.5973504848118343,100,0.9946142959798003,0.86,3000
0,2.0,D_full_model,12,0,false,0,0,0,0,0.19,0.4997085745175662,100,0.9968425475941417,0.81,3000
0,2.0,D_full_model,13,0,false,20,40,22,40,0.05,0.784247141619398,100,0.9930630612756381,0.93,3000
0,2.0,D_full_model,14,66,true,17,17,15,17,0.01,0.9591092104351782,100,0.8462473402721956,0.99,66
0,2.0,D_full_model,15,0,false,0,0,0,0,0.44,0.2608659933892902,100,0.9998332538748508,0.56,3000
0,2.0,D_full_model,16,68,true,19,19,17,19,0.01,0.924541855327101,100,0.845322244181769,0.98,68
0,2.0,D_full_model,17,0,false,0,0,0,0,0.7,0.33622000689309717,100,0.9991219556760579,0.7,3000
0,2.0,D_full_model,18,0,false,0,0,0,0,0.47,0.23179472312317298,100,0.9998668708801415,0.53,3000
0,2.0,D_full_model,19,216,true,19,21,21,21,0.05,0.8649138774568127,100,0.9192394705274254,0.96,216
0,2.0,D_full_model,20,0,false,0,0,0,0,0.19,0.47598718948527785,100,0.9967120111122193,0.81,3000
0,2.0,D_full_model,21,0,false,0,0,0,0,0.43,0.23432882349613354,100,0.9998152711772907,0.57,3000
0,2.0,D_full_model,22,0,false,0,0,0,0,0.81,0.48287341748048734,100,0.9968455706219518,0.81,3000
0,2.0,D_full_model,23,0,false,0,0,0,0,0.29,0.3479634268375896,100,0.9989838768559808,0.71,3000
0,2.0,D_full_model,24,0,false,32,29,23,32,0.93,0.7838944689073741,100,0.9931311630080496,0.93,3000
0,2.0,D_full_model,25,0,false,31,31,24,31,0.95,0.7638785729659654,100,0.9930585880019148,0.92,3000
0,2.0,D_full_model,26,0,false,0,0,0,0,0.7,0.33852884091401125,100,0.9992046871779864,0.69,3000
0,2.0,D_full_model,27,0,false,0,0,0,0,0.6,0.277601268910233,100,0.9997417299316416,0.6,3000
0,2.0,D_full_model,28,0,false,46,46,28,46,0.1,0.6938010495997032,100,0.9931889471681863,0.9,3000
0,2.0,D_full_model,29,73,true,18,18,18,18,0.99,0.9061443593681111,100,0.8490329087669788,0.97,73
