label,Phi,theta_crystal,sigma_0,k,tick,fraction_A,coordination_rate,n_uncr,n_cryst_A,n_cryst_B,new_cryst_A,new_cryst_B,dissolutions,bexp_all,beff_all,C_all,sigma_crA,sigma_crB,anom_crA,anom_crB,e_uncr_mean,e_uncr_abs_mean,num_enforcements,convergence_counter
baseline,0.0,3.0,0.8,2.0,50,0.96,0.92,14,82,4,2,0,1,0.9525,0.9627,0.6549,0.7174,0.246,2.63,7.0,1.553,1.553,0,0
baseline,0.0,3.0,0.8,2.0,51,0.98,0.96,12,85,3,3,0,1,0.9597,0.9702,0.6847,0.7217,0.2461,2.56,7.33,1.382,1.382,0,0
baseline,0.0,3.0,0.8,2.0,52,0.97,0.94,11,87,2,2,0,1,0.9655,0.9796,0.7091,0.7248,0.2442,2.54,7.5,1.255,1.255,0,0
baseline,0.0,3.0,0.8,2.0,53,1.0,1.0,11,87,2,0,0,0,0.975,0.9837,0.7382,0.7262,0.2442,2.54,8.5,1.517,1.517,0,0
baseline,0.0,3.0,0.8,2.0,54,0.99,0.98,12,87,1,0,0,1,0.9842,0.9868,0.7619,0.7275,0.2415,2.55,9.0,1.623,1.623,0,0
baseline,0.0,3.0,0.8,2.0,55,1.0,1.0,12,88,0,1,0,1,0.99,0.9926,0.7857,0.7297,NaN,2.52,NaN,1.599,1.599,0,0
baseline,0.0,3.0,0.8,2.0,56,0.99,0.98,11,89,0,1,0,0,0.995,0.9952,0.8047,0.7318,NaN,2.49,NaN,1.699,1.699,0,0
baseline,0.0,3.0,0.8,2.0,57,1.0,1.0,11,89,0,0,0,0,0.995,0.9967,0.8242,0.7332,NaN,2.49,NaN,1.895,1.895,0,0
baseline,0.0,3.0,0.8,2.0,58,0.99,0.98,10,90,0,1,0,0,0.995,0.9967,0.8393,0.7352,NaN,2.48,NaN,1.962,1.962,0,1
baseline,0.0,3.0,0.8,2.0,59,1.0,1.0,9,91,0,1,0,0,0.995,0.9966,0.8554,0.7372,NaN,2.45,NaN,2.017,2.017,0,2
baseline,0.0,3.0,0.8,2.0,60,1.0,1.0,9,91,0,0,0,0,0.9975,0.9966,0.8698,0.7385,NaN,2.45,NaN,2.179,2.179,0,3
baseline,0.0,3.0,0.8,2.0,61,1.0,1.0,8,92,0,1,0,0,0.9975,0.9991,0.8829,0.7405,NaN,2.42,NaN,2.23,2.23,0,4
baseline,0.0,3.0,0.8,2.0,62,1.0,1.0,8,92,0,0,0,0,1.0,0.9991,0.8946,0.7418,NaN,2.42,NaN,2.346,2.346,0,5
baseline,0.0,3.0,0.8,2.0,63,1.0,1.0,8,92,0,0,0,0,1.0,1.0,0.9051,0.7431,NaN,2.42,NaN,2.45,2.45,0,6
baseline,0.0,3.0,0.8,2.0,64,1.0,1.0,8,92,0,0,0,0,1.0,1.0,0.9146,0.7444,NaN,2.42,NaN,2.544,2.544,0,7
baseline,0.0,3.0,0.8,2.0,65,1.0,1.0,7,93,0,1,0,0,1.0,1.0,0.9231,0.7462,NaN,2.4,NaN,2.56,2.56,0,8
baseline,0.0,3.0,0.8,2.0,66,1.0,1.0,6,94,0,1,0,0,1.0,1.0,0.9308,0.7481,NaN,2.37,NaN,2.566,2.566,0,9
baseline,0.0,3.0,0.8,2.0,67,1.0,1.0,4,96,0,2,0,0,1.0,1.0,0.9377,0.7504,NaN,2.32,NaN,2.421,2.421,0,10
baseline,0.0,3.0,0.8,2.0,68,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.944,0.7516,NaN,2.32,NaN,2.47,2.47,0,11
baseline,0.0,3.0,0.8,2.0,69,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9496,0.7529,NaN,2.32,NaN,2.515,2.515,0,12
baseline,0.0,3.0,0.8,2.0,70,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9546,0.7541,NaN,2.32,NaN,2.555,2.555,0,13
baseline,0.0,3.0,0.8,2.0,71,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9592,0.7553,NaN,2.32,NaN,2.591,2.591,0,14
baseline,0.0,3.0,0.8,2.0,72,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9632,0.7566,NaN,2.32,NaN,2.624,2.624,0,15
baseline,0.0,3.0,0.8,2.0,73,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9669,0.7578,NaN,2.32,NaN,2.653,2.653,0,16
baseline,0.0,3.0,0.8,2.0,74,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9702,0.759,NaN,2.32,NaN,2.679,2.679,0,17
baseline,0.0,3.0,0.8,2.0,75,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9732,0.7602,NaN,2.32,NaN,2.703,2.703,0,18
baseline,0.0,3.0,0.8,2.0,76,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9759,0.7614,NaN,2.32,NaN,2.724,2.724,0,19
baseline,0.0,3.0,0.8,2.0,77,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9783,0.7626,NaN,2.32,NaN,2.744,2.744,0,20
baseline,0.0,3.0,0.8,2.0,78,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9805,0.7638,NaN,2.32,NaN,2.761,2.761,0,21
baseline,0.0,3.0,0.8,2.0,79,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9824,0.765,NaN,2.32,NaN,2.776,2.776,0,22
baseline,0.0,3.0,0.8,2.0,80,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9842,0.7661,NaN,2.32,NaN,2.79,2.79,0,23
baseline,0.0,3.0,0.8,2.0,81,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9858,0.7673,NaN,2.32,NaN,2.803,2.803,0,24
baseline,0.0,3.0,0.8,2.0,82,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9872,0.7685,NaN,2.32,NaN,2.814,2.814,0,25
baseline,0.0,3.0,0.8,2.0,83,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9885,0.7696,NaN,2.32,NaN,2.824,2.824,0,26
baseline,0.0,3.0,0.8,2.0,84,1.0,1.0,4,96,0,0,0,0,1.0,1.0,0.9896,0.7708,NaN,2.32,NaN,2.834,2.834,0,27
baseline,0.0,3.0,0.8,2.0,85,1.0,1.0,3,97,0,1,0,0,1.0,1.0,0.9907,0.7722,NaN,2.3,NaN,2.788,2.788,0,28
baseline,0.0,3.0,0.8,2.0,86,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9916,0.7733,NaN,2.3,NaN,2.796,2.796,0,29
baseline,0.0,3.0,0.8,2.0,87,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9924,0.7745,NaN,2.3,NaN,2.803,2.803,0,30
baseline,0.0,3.0,0.8,2.0,88,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9932,0.7756,NaN,2.3,NaN,2.809,2.809,0,31
baseline,0.0,3.0,0.8,2.0,89,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9939,0.7767,NaN,2.3,NaN,2.815,2.815,0,32
baseline,0.0,3.0,0.8,2.0,90,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9945,0.7778,NaN,2.3,NaN,2.82,2.82,0,33
baseline,0.0,3.0,0.8,2.0,91,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.995,0.779,NaN,2.3,NaN,2.825,2.825,0,34
baseline,0.0,3.0,0.8,2.0,92,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9955,0.7801,NaN,2.3,NaN,2.829,2.829,0,35
baseline,0.0,3.0,0.8,2.0,93,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.996,0.7812,NaN,2.3,NaN,2.833,2.833,0,36
baseline,0.0,3.0,0.8,2.0,94,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9964,0.7823,NaN,2.3,NaN,2.836,2.836,0,37
baseline,0.0,3.0,0.8,2.0,95,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9967,0.7833,NaN,2.3,NaN,2.839,2.839,0,38
baseline,0.0,3.0,0.8,2.0,96,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9971,0.7844,NaN,2.3,NaN,2.842,2.842,0,39
baseline,0.0,3.0,0.8,2.0,97,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9974,0.7855,NaN,2.3,NaN,2.844,2.844,0,40
baseline,0.0,3.0,0.8,2.0,98,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9976,0.7866,NaN,2.3,NaN,2.847,2.847,0,41
baseline,0.0,3.0,0.8,2.0,99,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9979,0.7876,NaN,2.3,NaN,2.849,2.849,0,42
baseline,0.0,3.0,0.8,2.0,100,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9981,0.7887,NaN,2.3,NaN,2.85,2.85,0,43
baseline,0.0,3.0,0.8,2.0,101,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9983,0.7898,NaN,2.3,NaN,2.852,2.852,0,44
baseline,0.0,3.0,0.8,2.0,102,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9984,0.7908,NaN,2.3,NaN,2.853,2.853,0,45
baseline,0.0,3.0,0.8,2.0,103,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9986,0.7919,NaN,2.3,NaN,2.855,2.855,0,46
baseline,0.0,3.0,0.8,2.0,104,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9987,0.7929,NaN,2.3,NaN,2.856,2.856,0,47
baseline,0.0,3.0,0.8,2.0,105,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9989,0.7939,NaN,2.3,NaN,2.857,2.857,0,48
baseline,0.0,3.0,0.8,2.0,106,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.999,0.795,NaN,2.3,NaN,2.858,2.858,0,49
baseline,0.0,3.0,0.8,2.0,107,1.0,1.0,3,97,0,0,0,0,1.0,1.0,0.9991,0.796,NaN,2.3,NaN,2.859,2.859,0,50
easy_fast,0.0,1.5,1.0,4.0,1,0.49,0.58,100,0,0,0,0,0,0.49,0.5,0.458,NaN,NaN,NaN,NaN,0.011,0.542,0,0
easy_fast,0.0,1.5,1.0,4.0,2,0.49,0.38,100,0,0,0,0,0,0.49,0.49,0.3916,NaN,NaN,NaN,NaN,0.01,0.736,0,0
easy_fast,0.0,1.5,1.0,4.0,3,0.48,0.44,94,4,2,4,2,0,0.4733,0.49,0.3701,1.0,1.0,0.0,0.0,-0.042,0.696,0,0
easy_fast,0.0,1.5,1.0,4.0,4,0.41,0.5,83,8,9,4,7,0,0.4508,0.4733,0.3397,1.0,1.0,0.25,0.11,-0.073,0.678,0,0
easy_fast,0.0,1.5,1.0,4.0,5,0.51,0.46,76,10,14,2,5,0,0.4475,0.4542,0.315,1.0,1.0,0.7,0.29,-0.083,0.706,0,0
easy_fast,0.0,1.5,1.0,4.0,6,0.46,0.56,69,13,18,3,4,0,0.4775,0.4542,0.3012,1.0,1.0,0.69,0.61,-0.075,0.681,0,0
easy_fast,0.0,1.5,1.0,4.0,7,0.53,0.46,60,16,24,3,6,0,0.4742,0.4725,0.273,1.0,1.0,1.12,0.88,-0.035,0.632,0,0
easy_fast,0.0,1.5,1.0,4.0,8,0.52,0.6,56,19,25,3,1,0,0.5058,0.4575,0.2718,1.0,1.0,1.16,1.16,-0.072,0.706,0,0
easy_fast,0.0,1.5,1.0,4.0,9,0.48,0.56,48,22,30,3,5,0,0.5003,0.4683,0.2654,1.0,1.0,1.41,1.4,-0.041,0.654,0,0
easy_fast,0.0,1.5,1.0,4.0,10,0.47,0.54,44,25,31,3,1,0,0.4888,0.4633,0.2721,1.0,1.0,1.6,1.77,-0.191,0.713,0,0
easy_fast,0.0,1.5,1.0,4.0,11,0.4,0.6,36,26,38,1,7,0,0.4392,0.445,0.268,1.0,1.0,2.19,1.84,-0.108,0.712,0,0
easy_fast,0.0,1.5,1.0,4.0,12,0.43,0.46,26,29,45,3,7,0,0.42,0.4233,0.2632,1.0,1.0,2.45,2.0,-0.006,0.591,0,0
easy_fast,0.0,1.5,1.0,4.0,13,0.42,0.48,25,29,46,0,1,0,0.4225,0.405,0.2605,1.0,1.0,3.0,2.43,-0.152,0.698,0,0
easy_fast,0.0,1.5,1.0,4.0,14,0.4,0.56,22,31,47,2,1,0,0.4083,0.3775,0.2708,1.0,1.0,3.26,2.68,-0.481,0.792,0,0
easy_fast,0.0,1.5,1.0,4.0,15,0.36,0.6,17,31,52,0,5,0,0.3908,0.3775,0.2761,0.9774,1.0,3.52,2.75,-0.347,0.699,0,0
easy_fast,0.0,1.5,1.0,4.0,16,0.37,0.46,12,32,56,1,4,0,0.3625,0.3734,0.2656,0.9782,1.0,4.06,2.95,-0.397,0.594,0,0
easy_fast,0.0,1.5,1.0,4.0,17,0.37,0.54,11,32,57,0,1,0,0.36,0.3584,0.2681,0.9782,1.0,4.72,3.25,-0.405,0.575,0,0
easy_fast,0.0,1.5,1.0,4.0,18,0.39,0.42,10,32,58,0,1,0,0.38,0.3617,0.248,0.9127,1.0,4.56,3.67,-0.362,0.81,0,0
easy_fast,0.0,1.5,1.0,4.0,19,0.34,0.52,10,32,58,0,0,0,0.3592,0.332,0.2548,0.891,0.9879,4.94,3.84,-0.53,0.978,0,0
easy_fast,0.0,1.5,1.0,4.0,20,0.33,0.46,7,32,61,0,3,0,0.3417,0.3269,0.2463,0.8692,0.9886,5.44,4.05,-0.251,0.483,0,0
easy_fast,0.0,1.5,1.0,4.0,21,0.31,0.66,7,32,61,0,0,0,0.3183,0.3104,0.2696,0.8475,0.9771,5.72,4.15,-0.463,0.83,0,0
easy_fast,0.0,1.5,1.0,4.0,22,0.3,0.48,6,32,62,0,1,0,0.3058,0.302,0.2669,0.6946,0.9775,4.34,4.47,-0.852,1.28,0,0
easy_fast,0.0,1.5,1.0,4.0,23,0.22,0.68,2,32,66,0,4,0,0.2642,0.2374,0.2915,0.6294,0.9789,4.12,4.36,-0.486,0.821,0,0
easy_fast,0.0,1.5,1.0,4.0,24,0.19,0.62,2,32,66,0,0,0,0.2225,0.1977,0.3024,0.5641,0.9684,4.09,4.44,-0.486,0.821,0,0
easy_fast,0.0,1.5,1.0,4.0,25,0.18,0.72,1,32,67,0,1,0,0.18,0.1862,0.3276,0.4989,0.9586,3.97,4.4,0.335,0.335,0,0
easy_fast,0.0,1.5,1.0,4.0,26,0.15,0.74,1,32,67,0,0,0,0.185,0.1407,0.3551,0.4557,0.9483,4.16,4.37,0.335,0.335,0,0
easy_fast,0.0,1.5,1.0,4.0,27,0.15,0.74,1,32,67,0,0,0,0.1508,0.1366,0.3804,0.4124,0.9381,4.38,4.37,0.335,0.335,0,0
easy_fast,0.0,1.5,1.0,4.0,28,0.1,0.8,1,32,67,0,0,0,0.1358,0.1217,0.408,0.3253,0.928,4.03,4.33,-0.554,0.554,0,0
easy_fast,0.0,1.5,1.0,4.0,29,0.07,0.86,3,30,67,0,0,2,0.087,0.0762,0.4424,0.303,0.9179,4.37,4.28,-0.451,0.451,0,0
easy_fast,0.0,1.5,1.0,4.0,30,0.05,0.9,2,30,68,0,1,0,0.0675,0.0306,0.4856,0.303,0.9195,5.37,4.29,-0.565,0.565,0,0
easy_fast,0.0,1.5,1.0,4.0,31,0.03,0.94,3,29,68,0,0,1,0.05,0.0124,0.5321,0.3034,0.9199,6.17,4.31,-0.716,0.716,0,0
easy_fast,0.0,1.5,1.0,4.0,32,0.01,0.98,7,24,69,0,1,5,0.0308,0.0173,0.5751,0.3026,0.9214,6.58,4.26,-0.205,0.205,0,0
easy_fast,0.0,1.5,1.0,4.0,33,0.01,0.98,13,18,69,0,0,6,0.0142,0.0119,0.6126,0.3017,0.9117,6.78,4.13,-0.34,0.34,0,0
easy_fast,0.0,1.5,1.0,4.0,34,0.0,1.0,16,14,70,0,1,4,0.0058,0.0073,0.6514,0.3015,0.9134,7.14,4.07,-0.504,0.504,0,0
easy_fast,0.0,1.5,1.0,4.0,35,0.0,1.0,17,11,72,0,2,3,0.0058,0.0045,0.6862,0.3013,0.9162,7.64,3.96,-0.622,0.622,0,0
easy_fast,0.0,1.5,1.0,4.0,36,0.0,1.0,18,8,74,0,2,3,0.0025,0.0042,0.7176,0.3009,0.9189,8.12,3.85,-0.686,0.686,0,0
easy_fast,0.0,1.5,1.0,4.0,37,0.0,1.0,21,5,74,0,0,3,0.0,0.0031,0.7458,0.3007,0.9193,8.6,3.85,-0.837,0.837,0,0
easy_fast,0.0,1.5,1.0,4.0,38,0.0,1.0,19,2,79,0,5,3,0.0,0.0004,0.7713,0.3017,0.9248,9.0,3.61,-0.801,0.801,0,0
easy_fast,0.0,1.5,1.0,4.0,39,0.0,1.0,15,0,85,0,6,2,0.0,0.0002,0.7941,NaN,0.9304,NaN,3.35,-0.71,0.71,0,0
easy_fast,0.0,1.5,1.0,4.0,40,0.0,1.0,14,0,86,0,1,0,0.0,0.0,0.8147,NaN,0.9316,NaN,3.31,-0.93,0.93,0,0
easy_fast,0.0,1.5,1.0,4.0,41,0.0,1.0,10,0,90,0,4,0,0.0,0.0,0.8332,NaN,0.935,NaN,3.17,-0.997,0.997,0,1
easy_fast,0.0,1.5,1.0,4.0,42,0.0,1.0,8,0,92,0,2,0,0.0,0.0,0.8499,NaN,0.9367,NaN,3.1,-1.134,1.134,0,2
easy_fast,0.0,1.5,1.0,4.0,43,0.0,1.0,6,0,94,0,2,0,0.0,0.0,0.8649,NaN,0.9383,NaN,3.03,-1.277,1.277,0,3
easy_fast,0.0,1.5,1.0,4.0,44,0.0,1.0,4,0,96,0,2,0,0.0,0.0,0.8784,NaN,0.9399,NaN,2.97,-1.403,1.403,0,4
easy_fast,0.0,1.5,1.0,4.0,45,0.0,1.0,1,0,99,0,3,0,0.0,0.0,0.8906,NaN,0.942,NaN,2.88,-1.441,1.441,0,5
easy_fast,0.0,1.5,1.0,4.0,46,0.0,1.0,0,0,100,0,1,0,0.0,0.0,0.9015,NaN,0.9429,NaN,2.85,NaN,NaN,0,6
easy_fast,0.0,1.5,1.0,4.0,47,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9114,NaN,0.9432,NaN,2.85,NaN,NaN,0,7
easy_fast,0.0,1.5,1.0,4.0,48,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9202,NaN,0.9435,NaN,2.85,NaN,NaN,0,8
easy_fast,0.0,1.5,1.0,4.0,49,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9282,NaN,0.9438,NaN,2.85,NaN,NaN,0,9
easy_fast,0.0,1.5,1.0,4.0,50,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9354,NaN,0.944,NaN,2.85,NaN,NaN,0,10
easy_fast,0.0,1.5,1.0,4.0,51,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9419,NaN,0.9443,NaN,2.85,NaN,NaN,0,11
easy_fast,0.0,1.5,1.0,4.0,52,0.0,1.0,0,0,100,0,0,0,0.0,0.0,0.9477,NaN,0.9446,NaN,2.85,NaN,NaN,0,12
