N,condition,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
4,Dyn_noNorm,false,90,true,3,3,0,1.0,1.0,0,0.0,0.0,0.0,203
4,Dyn_noNorm,false,91,true,24,5,0,1.0,1.0,0,0.0,0.0,0.0,224
4,Dyn_noNorm,false,92,true,23,13,0,1.0,1.0,0,0.0,0.0,0.0,223
4,Dyn_noNorm,false,93,true,29,10,0,1.0,1.0,0,0.0,0.0,0.0,229
4,Dyn_noNorm,false,94,true,3,3,0,1.0,1.0,0,0.0,0.0,0.0,203
4,Dyn_noNorm,false,95,true,4,4,0,1.0,1.0,0,0.0,0.0,0.0,204
4,Dyn_noNorm,false,96,true,11,11,0,1.0,1.0,0,0.0,0.0,0.0,211
4,Dyn_noNorm,false,97,true,3,3,0,1.0,1.0,0,0.0,0.0,0.0,203
4,Dyn_noNorm,false,98,true,13,3,0,1.0,1.0,0,0.0,0.0,0.0,213
4,Dyn_noNorm,false,99,true,23,11,0,1.0,1.0,0,0.0,0.0,0.0,223
4,Dyn_noNorm,false,100,true,44,6,0,1.0,1.0,0,0.0,0.0,0.0,244
4,Dyn_Norm,true,1,true,14,3,11,1.0,1.0,4,0.926790075166498,0.0,0.0,214
4,Dyn_Norm,true,2,true,25,8,20,1.0,1.0,4,0.9280585282611662,0.0,0.0,225
4,Dyn_Norm,true,3,true,10,5,9,1.0,1.0,4,0.9267909948660638,0.0,0.0,210
4,Dyn_Norm,true,4,true,35,16,31,1.0,1.0,4,0.9278782396471456,0.0,0.0,235
4,Dyn_Norm,true,5,true,10,4,8,1.0,1.0,4,0.9266042912095009,0.0,0.0,210
4,Dyn_Norm,true,6,true,19,8,18,1.0,1.0,4,0.9271538472898795,0.0,0.0,219
4,Dyn_Norm,true,7,true,30,25,9,1.0,1.0,4,0.876150168349597,0.0,0.0,230
4,Dyn_Norm,true,8,true,13,3,10,1.0,1.0,4,0.9273391450042514,0.0,0.0,213
4,Dyn_Norm,true,9,true,11,4,9,1.0,1.0,4,0.9270662155373698,0.0,0.0,211
4,Dyn_Norm,true,10,true,15,12,16,1.0,1.0,4,0.9256640833852869,0.0,0.0,215
