N,condition,w_base,w_max,enable_normative,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
1000,C_normative_only,5,5,true,17,120,true,68,67,71,71,1.0,0.998138151241809,992,0.7604289746643728,0.992,120
1000,C_normative_only,5,5,true,25,109,true,55,54,60,60,0.0,0.9985216266110589,987,0.7654990300207031,0.987,109
1000,C_normative_only,5,5,true,15,111,true,59,56,62,62,1.0,0.9985424889058399,987,0.7633434339377915,0.987,111
1000,C_normative_only,5,5,true,13,103,true,45,44,54,54,0.0,0.9990650736656039,979,0.8233263349887658,0.979,103
1000,C_normative_only,5,5,true,30,129,true,78,78,80,80,0.0,0.9978992032117616,994,0.7629875629616776,0.994,129
1000,C_normative_only,5,5,true,29,143,true,93,92,94,94,0.0,0.9979422237779224,992,0.7946972955885678,0.992,143
1000,C_normative_only,5,5,true,10,103,true,43,43,54,54,0.0,0.9991981405563232,974,0.8201515807883689,0.974,103
1000,C_normative_only,5,5,true,2,103,true,45,44,54,54,1.0,0.999072165528564,979,0.8092588590475849,0.979,103
1000,C_normative_only,5,5,true,12,104,true,48,47,55,55,1.0,0.9988975931319148,988,0.8010402114196917,0.988,104
1000,C_normative_only,5,5,true,8,105,true,49,49,56,56,0.0,0.9988317178674421,981,0.797157505948147,0.981,105
1000,C_normative_only,5,5,true,20,107,true,52,52,58,58,0.0,0.9985032585047742,988,0.7796003046964826,0.988,107
1000,C_normative_only,5,5,true,22,106,true,52,52,57,57,0.0,0.9984186568354451,986,0.7738642261666537,0.986,106
1000,C_normative_only,5,5,true,28,109,true,57,56,60,60,0.0,0.9982909857324683,986,0.7547707878275024,0.986,109
1000,C_normative_only,5,5,true,18,103,true,46,45,54,54,1.0,0.9989311571964985,985,0.8069938297044249,0.985,103
1000,C_normative_only,5,5,true,26,101,true,44,42,52,52,0.0,0.9990425203569785,974,0.8210608436428537,0.974,101
1000,C_normative_only,5,5,true,24,113,true,61,60,64,64,1.0,0.9981669595682049,988,0.7565726801082678,0.988,113
1000,C_normative_only,5,5,true,6,112,true,61,60,63,63,1.0,0.9981885875038163,989,0.7558710432290889,0.989,112
1000,C_normative_only,5,5,true,4,116,true,66,65,67,67,1.0,0.9979835438562886,992,0.7475452030037115,0.992,116
1000,C_normative_only,5,5,true,14,103,true,43,43,54,54,1.0,0.9991229897074352,972,0.8145952346003023,0.972,103
1000,C_normative_only,5,5,true,16,105,true,48,48,56,56,1.0,0.998668858810539,984,0.7861861786353133,0.984,105
1000,D_full_model,2,6,true,23,102,true,37,36,53,53,0.0,0.9995200965628802,962,0.848062171184464,0.962,102
1000,D_full_model,2,6,true,3,104,true,38,37,55,55,0.0,0.9995798422949816,960,0.8443776480309066,0.96,104
1000,D_full_model,2,6,true,11,106,true,47,46,57,57,0.0,0.9990792123683992,979,0.7906547559233674,0.979,106
1000,D_full_model,2,6,true,25,106,true,44,43,57,57,1.0,0.9993475670374956,971,0.8074845828514033,0.971,106
1000,D_full_model,2,6,true,7,103,true,38,37,54,54,1.0,0.9995084993795822,963,0.842056607242118,0.963,103
1000,D_full_model,2,6,true,5,108,true,51,50,59,59,0.0,0.9989441246051348,988,0.7675188704277055,0.988,108
1000,D_full_model,2,6,true,21,110,true,56,56,61,61,0.0,0.9983767035826191,992,0.7532837188655813,0.992,110
1000,D_full_model,2,6,true,13,118,true,63,63,69,69,1.0,0.9984168310400567,990,0.7551658125216709,0.99,118
