theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.0,14,5000,true,108,108,1.0,0.9987322787845285,4923,0.7619251532421673,0.9846,52,51,59,59,1537,0,1437,23,1.0,32
3.0,1.0,18,5000,true,114,114,0.0,0.9996473203063623,4796,0.8500628292560226,0.9592,45,45,65,65,1423,42014,1220,0,1.0,23
3.0,5.0,22,5000,true,111,111,0.0,0.9967995263765393,4973,0.672668313369129,0.9946,62,61,59,62,2591,56617,2340,224,1.0,42
3.0,0.2,14,5000,true,118,118,0.0,0.9994529033709628,4833,0.8229986962654249,0.9666,53,53,69,69,1501,49415,1334,0,1.0,31
3.0,0.0,15,5000,true,101,101,1.0,0.9994106028600636,4868,0.8417581888635999,0.9736,38,37,52,52,886,0,755,0,1.0,21
3.0,2.0,22,5000,true,109,109,0.0,0.9983908274763393,4934,0.7274180313181604,0.9868,55,55,60,60,2138,54230,2065,7,1.0,28
3.0,0.5,18,5000,true,124,124,1.0,0.9974990458122703,4966,0.7177808497663454,0.9932,74,73,75,75,2557,65297,2134,389,1.0,47
3.0,1.0,19,5000,true,113,113,0.0,0.9995553728762677,4799,0.8398349668893518,0.9598,47,47,64,64,1553,44757,1352,0,1.0,24
3.0,5.0,23,5000,true,107,107,1.0,0.9977277745783002,4953,0.6881970559765855,0.9906,55,55,58,58,2232,54053,2155,30,1.0,31
3.0,0.2,15,5000,true,118,118,1.0,0.9992952750866263,4868,0.8015546967422402,0.9736,57,56,69,69,1593,52152,1461,0,1.0,29
3.0,2.0,23,5000,true,110,110,1.0,0.9979760086738794,4964,0.6905648480012281,0.9928,59,58,61,61,2251,56137,2181,34,1.0,32
3.0,0.0,16,5000,true,108,108,1.0,0.9989484864954675,4915,0.772888399912993,0.983,50,50,59,59,1419,0,1322,12,1.0,32
3.0,0.5,19,5000,true,116,116,0.0,0.9995256575490695,4797,0.8372893393864084,0.9594,51,50,67,67,1451,46383,1248,0,1.0,25
3.0,1.0,20,5000,true,114,114,0.0,0.998838471102252,4928,0.7544735675953522,0.9856,58,57,65,65,1954,55383,1878,4,1.0,31
3.0,0.2,16,5000,true,120,120,1.0,0.9991939617293513,4880,0.7813022156638414,0.976,60,59,71,71,1719,55310,1592,7,1.0,34
3.0,5.0,24,5000,true,171,171,1.0,0.9965514804496263,4922,0.701799416899901,0.9844,122,119,114,122,8279,116266,5229,2972,1.0,111
3.0,0.0,17,5000,true,109,109,1.0,0.9987422723454145,4931,0.7609616822565636,0.9862,53,52,60,60,1582,0,1474,39,1.0,33
3.0,2.0,24,5000,true,113,113,0.0,0.9973521707734397,4988,0.6736983575953539,0.9976,64,63,62,64,2482,58463,2294,176,1.0,40
3.0,0.5,20,5000,true,114,114,1.0,0.9995992057670232,4819,0.8516977382533045,0.9638,47,46,65,65,1270,40956,1090,0,1.0,23
3.0,1.0,21,5000,true,114,114,0.0,0.9980069797054337,4939,0.7162693108886954,0.9878,62,61,65,65,2116,58266,2029,26,1.0,36
3.0,0.2,17,5000,true,122,122,1.0,0.9981657886667271,4961,0.7308707446656187,0.9922,69,69,73,73,2064,62118,1908,117,1.0,41
3.0,5.0,25,5000,true,116,116,1.0,0.9965543077175163,4937,0.6918522666532321,0.9874,67,66,63,67,3085,59377,2413,609,1.0,54
3.0,0.0,18,5000,true,115,115,0.0002,0.9979513919578777,4954,0.7457943507670558,0.9908,62,62,66,66,2256,0,1825,385,1.0,41
3.0,2.0,25,5000,true,109,109,0.0,0.9991208698283884,4853,0.7850479075006626,0.9706,50,49,60,60,1939,49937,1792,1,1.0,22
3.0,0.5,21,5000,true,117,117,0.0,0.999022674944443,4893,0.7757522721200515,0.9786,59,58,68,68,1763,54665,1650,6,1.0,32
3.0,1.0,22,5000,true,113,113,1.0,0.999489568068898,4823,0.8332911718798302,0.9646,49,48,64,64,1618,46356,1441,0,1.0,26
3.0,0.2,18,5000,true,118,118,0.0,0.999248787983049,4858,0.8020602773835251,0.9716,57,56,69,69,1613,52525,1469,2,1.0,31
3.0,5.0,26,5000,true,113,113,0.0,0.9966018451569749,4993,0.6907951558918924,0.9986,64,64,62,64,2930,57021,2380,543,1.0,39
3.0,2.0,26,5000,true,109,109,1.0,0.9986542954130576,4911,0.7424075946753189,0.9822,53,52,60,60,2068,52914,1979,0,1.0,24
3.0,0.0,19,5000,true,109,109,1.0,0.9988910351766215,4915,0.7652054626254619,0.983,52,51,60,60,1538,0,1423,31,1.0,32
3.0,0.5,22,5000,true,115,115,0.0,0.9996632924259433,4783,0.8532931709625545,0.9566,46,45,66,66,1269,40652,1052,0,1.0,22
3.0,1.0,23,5000,true,114,114,0.0,0.9987710339376917,4920,0.7466725848784654,0.984,58,57,65,65,1994,56014,1908,6,1.0,34
3.0,2.0,27,5000,true,109,109,0.0,0.9981663744374218,4938,0.7184277044119424,0.9876,56,55,60,60,2123,54602,2053,8,1.0,32
3.0,5.0,27,5000,true,115,115,0.0,0.9964825628772557,4945,0.6739396351736482,0.989,66,64,61,66,2768,58728,2339,374,1.0,51
3.0,0.2,19,5000,true,119,119,1.0,0.9988605151486467,4911,0.7670069974059661,0.9822,62,62,70,70,1771,56888,1671,11,1.0,34
3.0,0.0,20,5000,true,118,118,0.0,0.9981428956653786,4952,0.74713100517601,0.9904,66,65,69,69,2502,0,1914,540,1.0,46
3.0,0.5,23,5000,true,114,114,1.0,0.9995955334960043,4810,0.8513719290406792,0.962,47,46,65,65,1274,41524,1084,0,1.0,26
3.0,1.0,24,5000,true,129,129,0.0,0.9972148227157204,4962,0.790911659981872,0.9924,80,80,80,80,4282,69366,2557,1687,1.0,58
3.0,2.0,28,5000,true,109,109,1.0,0.9979816333467201,4954,0.6971837933392436,0.9908,58,56,60,60,2207,55710,2143,18,1.0,30
3.0,5.0,28,5000,true,106,106,1.0,0.9974856204338579,4959,0.6858025591154975,0.9918,56,55,57,57,2238,54048,2175,22,1.0,31
3.0,0.2,20,5000,true,118,118,0.0,0.9991607903697082,4893,0.79213759649835,0.9786,58,57,69,69,1646,53441,1537,2,1.0,31
3.0,0.0,21,5000,true,108,108,1.0,0.998892099942192,4902,0.7701632514767521,0.9804,51,50,59,59,1474,0,1356,21,1.0,30
3.0,0.5,24,5000,true,139,139,1.0,0.997707961575526,4917,0.8056551085626505,0.9834,88,88,90,90,4306,75729,2496,1727,1.0,64
3.0,1.0,25,5000,true,127,127,0.0,0.9973055514095122,4977,0.7739073172741693,0.9954,78,78,78,78,3953,67763,2472,1458,1.0,56
3.0,2.0,29,5000,true,117,117,1.0,0.9973441650955825,4984,0.6954999830423103,0.9968,68,67,66,68,2924,59814,2346,562,1.0,49
3.0,5.0,29,5000,true,140,140,0.0,0.9988572293979824,4928,0.7733061795159447,0.9856,81,80,91,91,4446,69227,3020,1354,1.0,70
3.0,0.2,21,5000,true,127,127,0.0,0.9977633917220972,4964,0.7383808785292587,0.9928,77,76,78,78,2784,66578,2117,631,1.0,49
3.0,0.0,22,5000,true,112,112,1.0,0.998494885490257,4942,0.7444747872211139,0.9884,58,57,63,63,1835,0,1654,124,1.0,36
3.0,0.5,25,5000,true,116,116,0.0,0.9995148419339445,4843,0.8340588392525409,0.9686,51,50,67,67,1481,46870,1324,0,1.0,27
