theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,5.0,24,5000,true,119,119,1.0,0.9963662219552307,4945,0.7109687727302352,0.989,70,68,65,70,3395,60992,2506,834,1.0,57
3.0,1.0,29,5000,true,113,113,1.0,0.9993095586152667,4852,0.8102630495531986,0.9704,52,51,64,64,1744,49465,1596,0,1.0,27
3.0,5.0,25,5000,true,113,113,1.0,0.9970241776359359,4968,0.675233116384896,0.9936,64,63,61,64,2682,57153,2348,302,1.0,42
3.0,0.0,30,5000,true,103,103,0.0,0.9994140206909069,4846,0.8310611358911637,0.9692,39,39,54,54,982,0,828,0,1.0,22
3.0,1.0,30,5000,true,112,112,0.0,0.9995824603545878,4806,0.849725339052475,0.9612,45,44,63,63,1409,41417,1215,1,1.0,25
3.0,0.5,1,5000,true,117,117,0.0,0.999008603195103,4901,0.7712422690218036,0.9802,59,58,68,68,1789,55354,1686,4,1.0,30
3.0,5.0,26,5000,true,121,121,0.0,0.9964062717637405,4932,0.7260276815433152,0.9864,72,68,65,72,3631,61861,2617,946,1.0,59
3.0,2.0,1,5000,true,112,112,0.0,0.9971090571308372,4985,0.6734490091515102,0.997,63,63,63,63,2437,57996,2267,155,1.0,41
3.0,5.0,27,5000,true,119,119,1.0,0.9971572175885278,4949,0.6893471500851006,0.9898,70,67,63,70,3055,60268,2455,549,1.0,53
3.0,2.0,2,5000,true,109,109,1.0,0.9986493267555304,4897,0.7472980607226777,0.9794,53,52,60,60,2088,52589,1981,4,1.0,30
3.0,0.5,2,5000,true,114,114,1.0,0.9996592606602739,4780,0.8571802110942336,0.956,44,44,65,65,1211,39341,991,0,1.0,21
3.0,5.0,28,5000,true,110,110,1.0,0.9962313917825888,4962,0.6634965344060609,0.9924,61,60,59,61,2519,56998,2287,194,1.0,44
3.0,2.0,3,5000,true,110,110,0.0,0.9990783683384487,4884,0.7660146305164327,0.9768,52,51,61,61,2007,51702,1892,0,1.0,24
3.0,0.5,3,5000,true,118,118,1.0,0.9988552704923351,4897,0.7574393043496839,0.9794,61,61,69,69,1832,57209,1725,4,1.0,33
3.0,5.0,29,5000,true,106,106,1.0,0.997061080453412,4947,0.6859679382279138,0.9894,56,55,57,57,2274,54668,2169,52,1.0,36
3.0,2.0,4,5000,true,116,116,0.0,0.9974289150932436,4991,0.6887269298030411,0.9982,67,66,65,67,2834,59400,2361,464,1.0,43
3.0,0.5,4,5000,true,122,122,1.0,0.9977644705899991,4975,0.7174544733705501,0.995,71,71,73,73,2457,64033,2118,314,1.0,40
3.0,2.0,5,5000,true,110,110,1.0,0.9991409203024884,4865,0.7803107708267696,0.973,51,50,61,61,1990,50576,1852,3,1.0,30
3.0,5.0,30,5000,true,155,155,1.0,0.9994774934326428,4842,0.8157963804839723,0.9684,89,88,106,106,5732,84578,3716,1858,1.0,80
3.0,0.5,5,5000,true,119,119,1.0,0.9985340373448018,4936,0.7359588336032555,0.9872,64,64,70,70,1980,59544,1872,44,1.0,33
3.0,2.0,6,5000,true,111,111,0.0,0.9974495657864012,4976,0.6781446218292073,0.9952,62,61,62,62,2367,57584,2242,101,1.0,39
5.0,0.0,1,5000,true,134,134,1.0,0.9995875137843401,4610,0.7992263264765924,0.922,67,66,85,85,1120,0,698,114,1.0,38
3.0,2.0,7,5000,true,121,121,0.0,0.9968500146352006,4965,0.7657128076709048,0.993,72,72,71,72,4051,63377,2547,1469,1.0,53
3.0,0.5,6,5000,true,116,116,0.0,0.9994593881823406,4855,0.830861848485333,0.971,52,51,67,67,1513,48216,1368,0,1.0,29
5.0,0.0,2,5000,true,133,133,1.0,0.9995674054904301,4638,0.7992704557038655,0.9276,67,66,84,84,1141,0,755,104,1.0,40
3.0,2.0,8,5000,true,109,109,1.0,0.9982421127591682,4925,0.710660645049777,0.985,57,56,60,60,2172,55015,2082,15,1.0,32
5.0,0.0,3,5000,true,110,110,1.0,0.9995770761929845,4616,0.8523229504733841,0.9232,44,43,61,61,324,0,72,0,1.0,23
3.0,0.5,7,5000,true,117,117,0.0,0.9993431255808182,4845,0.8035995919290652,0.969,55,54,68,68,1669,51965,1514,0,1.0,28
3.0,2.0,9,5000,true,115,115,1.0,0.9972154092800171,4989,0.6888998004472425,0.9978,66,65,65,66,2836,59173,2366,459,1.0,46
5.0,0.0,4,5000,true,134,134,1.0,0.999504883596033,4669,0.7953848313109959,0.9338,69,69,85,85,1243,0,839,141,1.0,41
3.0,0.5,8,5000,true,117,117,0.0,0.9984878499826113,4927,0.7378727900814558,0.9854,63,62,68,68,1916,58418,1822,21,1.0,30
3.0,2.0,10,5000,true,117,117,1.0,0.9970203652852205,4983,0.7069956701134967,0.9966,68,67,67,68,3146,60520,2405,724,1.0,48
5.0,0.0,5,5000,true,131,131,1.0,0.9996581642274628,4626,0.8033859799290811,0.9252,63,62,82,82,969,0,627,49,1.0,36
3.0,0.5,9,5000,true,115,115,0.0,0.9997275835883446,4800,0.8616967828723534,0.96,44,43,66,66,1134,37316,934,0,1.0,20
5.0,0.0,6,5000,true,128,128,1.0,0.999770987497997,4581,0.8256024945491629,0.9162,56,55,79,79,675,0,347,4,1.0,31
3.0,2.0,11,5000,true,163,163,1.0,0.9988961075199119,4882,0.7530740626020616,0.9764,106,105,114,114,7022,109047,4608,2296,1.0,78
5.0,0.0,7,5000,true,126,126,1.0,0.9998302348683455,4561,0.8419429653159017,0.9122,51,50,77,77,552,0,228,1,1.0,27
3.0,0.5,10,5000,true,117,117,0.0,0.9993466663539812,4841,0.8032889051114357,0.9682,54,54,68,68,1645,51598,1484,2,1.0,30
3.0,2.0,12,5000,true,110,110,0.0,0.9975477261381464,4970,0.6883988885906177,0.994,59,58,61,61,2269,56432,2192,47,1.0,38
5.0,0.0,8,5000,true,123,123,1.0,0.9997562869195482,4574,0.8386562970663188,0.9148,52,51,74,74,564,0,243,0,1.0,28
3.0,0.5,11,5000,true,115,115,1.0,0.9996478704228119,4799,0.8543689246552928,0.9598,46,46,66,66,1239,40681,1038,0,1.0,22
